ID;UF;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
35974;Pernambuco;-40.749;-9.5005;191;215;182;199;175;162;151;167;193;201;219;213;211
35975;Pernambuco;-40.649;-9.5005;188;212;180;198;173;159;148;164;189;199;217;212;208
35976;Pernambuco;-40.549;-9.5005;184;206;175;193;170;154;146;159;185;195;213;207;203
36352;Pernambuco;-40.749;-9.4005;187;210;178;193;171;157;149;162;189;199;217;208;206
36353;Pernambuco;-40.649;-9.4005;188;214;179;197;174;159;146;160;188;198;218;212;208
36354;Pernambuco;-40.549;-9.4005;191;218;185;201;176;159;155;166;194;201;221;213;209
36355;Pernambuco;-40.449;-9.4005;187;213;181;198;173;156;148;161;187;196;217;212;206
36356;Pernambuco;-40.349;-9.4005;185;209;177;196;172;155;144;156;184;197;212;208;205
36389;Pernambuco;-37.049;-9.4005;179;207;182;199;175;147;133;138;159;177;203;213;213
36390;Pernambuco;-36.949;-9.4005;178;204;178;195;172;148;132;141;163;177;204;212;211
36730;Pernambuco;-40.749;-9.3005;187;208;179;193;173;159;149;161;191;201;218;206;204
36731;Pernambuco;-40.649;-9.3005;187;210;180;197;173;158;147;160;189;201;218;209;207
36732;Pernambuco;-40.549;-9.3005;187;213;180;199;172;156;145;159;185;198;219;212;207
36733;Pernambuco;-40.449;-9.3005;186;209;178;196;173;156;145;159;191;198;216;209;206
36734;Pernambuco;-40.349;-9.3005;184;209;174;194;171;154;144;155;183;195;213;208;204
36755;Pernambuco;-38.249;-9.3005;195;219;191;212;187;159;150;160;190;197;223;224;222
36756;Pernambuco;-38.149;-9.3005;185;211;182;200;174;153;140;154;178;188;210;217;213
36766;Pernambuco;-37.149;-9.3005;180;208;182;198;175;148;133;139;166;177;206;215;214
36767;Pernambuco;-37.049;-9.3005;175;199;175;191;171;147;127;136;159;175;198;209;209
36768;Pernambuco;-36.949;-9.3005;178;203;179;191;172;147;133;141;164;180;204;211;211
36769;Pernambuco;-36.849;-9.3005;179;205;179;197;177;150;131;137;158;177;205;213;213
36770;Pernambuco;-36.749;-9.3005;182;207;182;200;178;152;135;143;167;182;205;214;216
36771;Pernambuco;-36.649;-9.3005;176;205;179;195;170;140;125;135;158;177;204;216;214
36772;Pernambuco;-36.549;-9.3005;171;197;175;191;169;138;120;127;149;166;195;212;209
36773;Pernambuco;-36.449;-9.3005;175;201;179;196;169;143;128;135;156;171;200;211;209
37109;Pernambuco;-40.649;-9.2005;185;206;173;193;171;158;146;159;189;199;216;205;201
37110;Pernambuco;-40.549;-9.2005;186;208;175;195;171;158;147;159;190;199;215;207;202
37111;Pernambuco;-40.449;-9.2005;181;204;169;190;168;155;143;153;185;197;212;203;199
37112;Pernambuco;-40.349;-9.2005;185;210;175;195;172;156;143;157;185;197;215;209;204
37113;Pernambuco;-40.249;-9.2005;177;198;166;186;162;147;138;151;179;194;208;201;196
37132;Pernambuco;-38.349;-9.2005;190;218;191;210;183;155;141;152;178;193;220;221;217
37133;Pernambuco;-38.249;-9.2005;187;214;187;205;179;153;138;154;176;194;218;219;215
37134;Pernambuco;-38.149;-9.2005;181;206;178;199;172;149;132;142;172;187;212;213;211
37135;Pernambuco;-38.049;-9.2005;181;204;179;200;172;147;134;142;170;184;209;216;212
37136;Pernambuco;-37.949;-9.2005;187;210;184;203;178;155;141;150;181;191;215;218;215
