ID;UF;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
35974;Pernambuco;-40.749;-9.5005;3.02;7.86;7.59;9.62;10.4;8.29;7.55;5.94;4.39;20.5;8.23;10.9;11.4
35975;Pernambuco;-40.649;-9.5005;2.89;6.64;8.02;9.07;10.8;7.87;7.18;5.85;5.8;19.8;7.65;10.0;10.8
35976;Pernambuco;-40.549;-9.5005;2.86;6.04;9.13;8.68;9.19;9.14;7.56;5.75;5.79;19.2;8.44;12.5;11.2
36352;Pernambuco;-40.749;-9.4005;2.6;7.6;8.38;8.41;10.8;7.76;7.05;7.24;5.04;20.0;8.94;13.2;10.9
36353;Pernambuco;-40.649;-9.4005;2.97;7.61;10.1;10.1;10.7;8.52;8.02;6.45;6.28;19.5;8.12;10.9;11.5
36354;Pernambuco;-40.549;-9.4005;2.85;7.74;9.72;9.65;10.9;9.19;5.86;5.47;4.62;19.7;8.98;11.4;11.3
36355;Pernambuco;-40.449;-9.4005;3.06;7.97;10.1;11.1;11.3;10.1;7.49;5.89;6.49;18.2;7.53;10.7;11.6
36356;Pernambuco;-40.349;-9.4005;2.79;6.68;8.22;9.04;10.3;10.5;9.03;5.96;6.75;18.4;7.14;11.9;11.3
36389;Pernambuco;-37.049;-9.4005;3.07;7.93;7.89;8.17;7.69;11.0;7.56;5.59;7.44;20.0;7.09;10.9;7.64
36390;Pernambuco;-36.949;-9.4005;3.46;8.84;9.47;9.53;8.0;10.9;8.33;4.85;9.17;20.4;6.93;9.88;7.27
36730;Pernambuco;-40.749;-9.3005;3.38;9.82;9.5;11.6;11.9;9.15;7.5;6.71;5.13;19.9;10.6;11.1;11.8
36731;Pernambuco;-40.649;-9.3005;3.53;10.3;9.78;11.7;11.5;10.2;8.15;5.51;6.52;20.2;10.1;11.8;12.3
36732;Pernambuco;-40.549;-9.3005;3.37;8.57;9.85;10.1;11.3;10.8;8.32;5.33;6.56;18.6;8.64;10.8;11.9
36733;Pernambuco;-40.449;-9.3005;3.33;8.41;9.61;10.5;10.9;9.74;8.25;5.32;5.19;18.6;8.55;11.2;11.9
36734;Pernambuco;-40.349;-9.3005;2.97;7.43;9.85;10.4;11.4;8.82;8.47;6.17;6.15;19.2;7.08;11.8;11.3
36755;Pernambuco;-38.249;-9.3005;3.35;7.18;6.87;7.63;7.04;11.7;7.22;4.48;7.0;19.9;5.47;6.49;5.73
36756;Pernambuco;-38.149;-9.3005;3.21;8.01;7.19;8.61;9.4;12.2;8.94;6.62;7.26;20.2;5.77;8.72;5.25
36766;Pernambuco;-37.149;-9.3005;3.63;8.07;8.32;8.02;8.93;13.1;9.56;4.81;8.08;22.3;5.3;9.63;8.57
36767;Pernambuco;-37.049;-9.3005;3.05;8.31;8.46;9.29;6.4;10.9;8.06;6.36;7.09;18.6;6.02;11.1;8.8
36768;Pernambuco;-36.949;-9.3005;3.91;7.57;8.05;9.84;8.59;10.9;8.52;5.25;8.69;19.5;8.39;10.9;8.8
36769;Pernambuco;-36.849;-9.3005;3.51;8.96;7.05;10.2;7.65;12.6;8.72;6.78;8.88;19.8;5.68;12.1;7.98
36770;Pernambuco;-36.749;-9.3005;3.68;9.46;6.54;10.3;8.38;12.8;9.29;7.11;7.89;20.9;8.67;10.3;7.87
36771;Pernambuco;-36.649;-9.3005;4.2;10.4;6.88;11.5;7.34;14.2;8.84;8.09;8.14;22.5;9.0;9.89;7.16
36772;Pernambuco;-36.549;-9.3005;3.73;10.2;7.28;10.2;7.35;13.4;7.76;6.63;7.3;21.8;8.9;10.6;7.93
36773;Pernambuco;-36.449;-9.3005;3.86;8.91;7.15;10.3;7.24;13.4;8.22;8.27;8.52;20.1;7.16;9.76;7.83
37109;Pernambuco;-40.649;-9.2005;3.68;10.6;10.6;11.7;11.8;9.91;8.27;5.9;5.29;18.8;10.6;11.8;12.6
37110;Pernambuco;-40.549;-9.2005;3.59;9.53;10.1;10.4;11.8;9.96;8.08;5.75;6.19;19.1;9.21;11.0;11.3
37111;Pernambuco;-40.449;-9.2005;3.16;9.42;10.2;10.3;10.1;9.68;8.29;4.81;5.72;18.4;9.27;12.8;11.7
37112;Pernambuco;-40.349;-9.2005;2.6;7.12;9.21;10.1;8.74;9.53;8.21;4.09;5.73;18.3;8.78;11.1;10.7
37113;Pernambuco;-40.249;-9.2005;2.79;7.39;9.43;9.2;9.87;9.19;8.09;5.41;5.48;18.4;8.65;12.7;9.92
37132;Pernambuco;-38.349;-9.2005;2.77;7.76;6.17;7.93;6.07;11.7;9.79;5.5;6.71;20.2;5.9;8.53;7.64
37133;Pernambuco;-38.249;-9.2005;2.67;7.09;6.61;8.94;7.6;13.4;9.43;6.01;6.56;19.9;5.66;8.16;6.98
37134;Pernambuco;-38.149;-9.2005;5.09;9.64;8.02;10.6;9.41;14.1;11.7;7.07;9.87;19.9;6.16;9.0;8.33
