ID;UF;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
35974;Pernambuco;-40.749;-9.5005;184;203;177;196;172;156;146;159;185;200;212;204;201
35975;Pernambuco;-40.649;-9.5005;184;202;176;196;173;156;146;159;184;200;212;203;200
35976;Pernambuco;-40.549;-9.5005;182;202;176;194;172;154;143;156;181;198;211;203;199
36352;Pernambuco;-40.749;-9.4005;186;207;179;199;176;155;145;158;184;201;214;208;204
36353;Pernambuco;-40.649;-9.4005;184;204;177;197;173;152;142;155;181;198;212;207;204
36354;Pernambuco;-40.549;-9.4005;185;207;180;198;175;154;143;155;182;199;214;209;204
36355;Pernambuco;-40.449;-9.4005;184;207;180;198;175;152;141;152;180;199;213;207;203
36356;Pernambuco;-40.349;-9.4005;180;201;176;194;173;150;139;150;178;197;208;200;197
36389;Pernambuco;-37.049;-9.4005;177;205;185;200;170;141;129;135;157;177;198;210;211
36390;Pernambuco;-36.949;-9.4005;177;207;184;201;171;142;130;136;158;177;199;210;211
36730;Pernambuco;-40.749;-9.3005;185;205;179;198;174;154;143;155;183;200;214;208;203
36731;Pernambuco;-40.649;-9.3005;184;205;179;196;174;153;143;155;183;200;213;207;202
36732;Pernambuco;-40.549;-9.3005;184;206;179;197;175;152;141;153;181;199;212;206;202
36733;Pernambuco;-40.449;-9.3005;180;202;173;193;172;149;139;150;178;196;208;203;200
36734;Pernambuco;-40.349;-9.3005;178;198;170;190;169;148;137;149;177;194;206;199;196
36755;Pernambuco;-38.249;-9.3005;179;207;182;202;174;146;132;140;165;182;203;210;208
36756;Pernambuco;-38.149;-9.3005;178;206;183;201;171;145;131;137;161;179;202;210;208
36766;Pernambuco;-37.149;-9.3005;179;209;188;202;173;143;130;136;159;180;202;211;212
36767;Pernambuco;-37.049;-9.3005;178;207;185;200;170;143;130;136;159;179;201;211;212
36768;Pernambuco;-36.949;-9.3005;176;205;183;199;171;141;127;134;155;177;199;209;210
36769;Pernambuco;-36.849;-9.3005;182;210;189;203;175;147;132;141;164;186;207;213;214
36770;Pernambuco;-36.749;-9.3005;178;208;185;199;170;142;127;135;157;179;203;214;212
36771;Pernambuco;-36.649;-9.3005;172;200;179;195;168;138;123;129;149;172;194;209;209
36772;Pernambuco;-36.549;-9.3005;175;205;184;199;170;140;125;132;152;174;197;209;210
36773;Pernambuco;-36.449;-9.3005;172;204;184;198;169;138;122;127;147;172;194;206;208
37109;Pernambuco;-40.649;-9.2005;183;204;177;197;173;151;142;154;182;200;213;207;201
37110;Pernambuco;-40.549;-9.2005;181;201;175;195;172;150;140;152;180;198;210;204;198
37111;Pernambuco;-40.449;-9.2005;181;202;175;194;173;149;139;150;179;198;211;205;201
37112;Pernambuco;-40.349;-9.2005;178;198;171;192;170;147;138;148;178;196;207;200;197
37113;Pernambuco;-40.249;-9.2005;177;197;170;188;168;147;137;148;177;195;206;199;195
37132;Pernambuco;-38.349;-9.2005;182;211;186;204;176;149;133;142;165;186;208;215;212
37133;Pernambuco;-38.249;-9.2005;180;208;184;203;174;147;132;138;162;183;206;214;210
37134;Pernambuco;-38.149;-9.2005;179;209;185;203;175;146;130;136;160;180;204;213;210
37135;Pernambuco;-38.049;-9.2005;174;205;181;199;169;138;121;126;152;175;201;212;208
37136;Pernambuco;-37.949;-9.2005;171;202;179;198;167;136;120;126;148;170;196;209;206
37143;Pernambuco;-37.249;-9.2005;179;209;186;200;172;145;131;137;160;183;206;212;211
37144;Pernambuco;-37.149;-9.2005;173;204;180;195;169;141;123;131;152;174;199;208;207
37145;Pernambuco;-37.049;-9.2005;179;208;186;199;173;144;130;138;161;185;205;212;212
37146;Pernambuco;-36.949;-9.2005;178;207;183;199;175;145;129;136;158;181;200;210;210
37147;Pernambuco;-36.849;-9.2005;177;206;184;197;172;142;127;135;157;181;203;212;211
37148;Pernambuco;-36.749;-9.2005;173;206;183;198;168;135;118;124;145;170;199;213;212
37149;Pernambuco;-36.649;-9.2005;171;200;180;194;167;137;119;126;146;173;194;208;207
37150;Pernambuco;-36.549;-9.2005;175;207;187;200;171;139;122;129;150;173;199;211;213
37151;Pernambuco;-36.449;-9.2005;168;199;180;194;166;135;117;123;142;166;187;204;205
37152;Pernambuco;-36.349;-9.2005;170;201;182;193;167;137;121;127;148;170;190;203;205
37153;Pernambuco;-36.249;-9.2005;172;200;180;194;168;140;124;129;150;173;192;202;205
37485;Pernambuco;-40.849;-9.1005;179;196;170;191;168;150;140;153;182;200;209;200;196
37486;Pernambuco;-40.749;-9.1005;180;197;171;193;170;150;140;153;182;199;210;201;197
37487;Pernambuco;-40.649;-9.1005;181;199;172;194;171;151;142;153;182;199;210;203;198
37488;Pernambuco;-40.549;-9.1005;179;198;170;190;169;147;139;150;179;197;208;202;197
37489;Pernambuco;-40.449;-9.1005;179;198;171;191;170;146;138;150;179;196;208;202;198
