ID;UF;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
35974;Pernambuco;-40.749;-9.5005;4.07;16.2;9.33;8.51;10.7;9.65;7.91;8.52;7.19;5.4;9.59;10.6;12.1
35975;Pernambuco;-40.649;-9.5005;3.98;15.0;9.08;8.69;9.63;9.12;7.24;8.17;7.29;5.0;9.45;10.6;12.0
35976;Pernambuco;-40.549;-9.5005;4.31;14.7;9.58;8.62;9.46;10.1;7.6;8.54;7.41;5.17;8.87;10.5;11.4
36352;Pernambuco;-40.749;-9.4005;3.85;17.0;9.28;7.65;10.3;10.3;8.68;8.91;7.51;5.06;8.56;11.4;12.2
36353;Pernambuco;-40.649;-9.4005;4.09;15.5;9.54;7.45;9.14;11.3;8.8;9.48;7.61;5.03;8.32;10.9;11.1
36354;Pernambuco;-40.549;-9.4005;3.72;15.6;8.86;8.47;9.4;10.3;8.59;8.84;7.17;4.38;7.65;10.6;11.2
36355;Pernambuco;-40.449;-9.4005;3.97;15.8;9.57;8.62;9.87;11.4;9.32;9.29;7.65;4.37;7.99;10.8;11.6
36356;Pernambuco;-40.349;-9.4005;4.38;14.7;9.41;7.72;8.91;11.6;9.59;9.5;8.13;4.63;9.58;11.8;11.6
36389;Pernambuco;-37.049;-9.4005;5.08;9.43;7.12;6.91;6.69;10.3;9.2;8.68;10.9;10.9;9.58;9.27;6.72
36390;Pernambuco;-36.949;-9.4005;5.07;9.01;7.19;6.73;6.67;11.0;9.14;9.15;10.3;10.5;8.94;9.5;6.27
36730;Pernambuco;-40.749;-9.3005;4.28;16.5;10.1;9.16;10.6;10.9;9.34;9.49;8.23;4.81;9.29;10.9;12.1
36731;Pernambuco;-40.649;-9.3005;4.28;16.3;10.1;9.51;10.7;11.5;9.16;9.26;7.67;4.39;8.72;11.2;11.4
36732;Pernambuco;-40.549;-9.3005;4.25;15.9;8.98;8.9;10.1;12.3;9.76;9.45;7.88;4.06;8.99;11.2;12.2
36733;Pernambuco;-40.449;-9.3005;4.48;15.2;9.71;8.59;9.6;11.8;9.87;9.53;8.56;4.68;9.0;11.5;10.9
