Estacao;Data;Hora;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvapoBHPotencial;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82890;31/01/1999;0000;;;;;;;0;;;;;;;
82890;30/04/1999;0000;4.350562;7.6;;273.4;4.067416;3;3.4;934.961798;31.626667;24.832;19.6;66.058333;;
82890;31/05/1999;0000;3.880645;7.1;;235.8;5.645161;8;78.1;935.821505;28.083871;22.892258;18.974194;82.314516;;
82890;30/06/1999;0000;3.837778;8;;250.8;5.533333;10;15.2;936.743333;28.14;22.106667;17.866667;79.666667;;
82890;31/07/1999;0000;3.866667;7.1;;224.3;5.989247;14;70;938.486022;25.619355;20.446452;16.435484;82.153226;;
82890;31/08/1999;0000;4.43494;8.3;;255;5.795699;7;13.9;938.298925;27.551613;20.949677;16.164516;78.951613;;
82890;30/09/1999;0000;4.474444;6.6;;274.4;5.311111;5;4.1;935.978889;29.936667;22.646;17.353333;72.791667;;
82890;31/10/1999;0000;4.213978;9.3;;278.2;4.83871;7;73.2;935.484946;30;23.199355;18.209677;78.379032;;
82890;30/11/1999;0000;3.957778;9.3;;274.9;5.388889;4;26.1;933.611111;31.546667;24.723333;19.123333;69.208333;;
82890;31/12/1999;0000;4.072043;9.6;;223.8;6.311828;6;89.4;933.523656;30.896774;24.578065;19.529032;73.056452;;
82890;31/01/2000;0000;3.57957;9.5;;254.1;5.88172;8;43.3;933.94086;30.309677;24.185806;19.483871;78.806452;;
82890;29/02/2000;0000;3.370588;6.6;;219.6;6.770115;11;83.5;934.337931;30.796552;24.464828;19.410345;80.181034;;
82890;31/03/2000;0000;3.469565;7;;248.4;6.387097;11;70.2;933.670968;30.541935;24.2;19.390323;82.258065;;
82890;30/04/2000;0000;3.28764;6.3;;236.1;6.449438;16;135.9;934.417978;29.196667;23.436552;19.223333;83.844828;;
82890;31/05/2000;0000;3.635484;6.6;;221.7;6.354839;12;27.6;936.050538;28.374194;22.445806;18.009677;87.032258;;
82890;30/06/2000;0000;3.769318;7.6;;178.5;6.566667;17;110.8;939.195556;26.266667;21.443846;18.136667;;;
82890;31/07/2000;0000;3.954839;7.5;;164.3;7.365591;15;75.3;939.067742;25.093548;20.365806;17.567742;;;
82890;31/08/2000;0000;3.696774;7.1;;223;6.139785;14;86.8;939.924731;25.858065;20.688966;17.058065;;;
82890;30/09/2000;0000;4.080899;6.8;;233.6;6.344444;10;32.3;938.886667;27.7;21.782222;18.273333;86.71875;;
82890;31/10/2000;0000;4.539785;7.8;;292.8;4.44086;4;17.2;938.32043;30.874194;23.331034;17.57931;;;
82890;30/11/2000;0000;4.381111;8.3;;266.4;4.9;4;30.6;935.648889;31.98;24.546667;18.06;;;
