Estacao;Data;Hora;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvapoBHPotencial;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82886;31/01/1999;0000;3.244565;6;;223.16;6.741935;4;16.2;969.462366;34.467742;29.088387;24.387097;49.5;;
82886;28/02/1999;0000;3.80241;7.8;;214.6;7.107143;3;9.3;970.285714;34.492857;28.914286;24.15;49.241071;;
82886;31/03/1999;0000;3.041935;8;;207.4;7.333333;16;87.7;969.610753;32.577419;27.44129;23.148387;60.596774;;
82886;30/04/1999;0000;4.04;7.5;;260.4;6.1;2;46;971.145556;33.04;27.738667;23.193333;54.2;;
82886;31/05/1999;0000;4.216129;9.5;;234.8;6.010753;6;7;972.217204;31.809677;26.456774;22.141935;58.653226;;
82886;30/06/1999;0000;;;;;;;0;;;;;;;
82886;31/07/1999;0000;5.136957;8.1;;245;5.695652;7;9.1;975.481522;29.558065;24.17871;19.483871;57.604839;;
82886;31/08/1999;0000;5.616129;8.3;;246.7;5.215054;4;7.9;975.322581;29.7;24.468387;19.835484;57.798387;;
82886;30/09/1999;0000;5.728889;8.6;;267.6;4.433333;3;4.8;972.752222;31.753333;26.053333;20.773333;53.95;;
82886;31/10/1999;0000;4.936264;8.3;;249.6;5.451613;7;30.2;972.135484;32.809677;27.158065;22.070968;52.822581;;
82886;30/11/1999;0000;4.281111;8.6;;246.4;6.277778;5;48.7;970.35;33.766667;28.193333;23.666667;53.316667;;
82886;31/12/1999;0000;3.984946;8.5;;238.4;6.784946;13;100.4;969.992473;32.480645;27.536774;23.387097;59.314516;;
82886;31/01/2000;0000;3.217204;8.6;;253;7.258065;13;117.7;970.360215;32.041935;26.877419;22.903226;67.306452;;
82886;29/02/2000;0000;2.995402;8.8;;243.4;7.045977;14;150.7;971.763218;31.755172;26.269655;22.213793;70.103448;;
82886;31/03/2000;0000;2.85914;6;;228.3;6.870968;6;127.3;971.034409;30.977419;25.997419;22.154839;71.379032;;
82886;30/04/2000;0000;3.53;7.1;;218.4;7.211111;11;55.7;971.874444;32.04;26.545333;22.446667;67.308333;;
82886;31/05/2000;0000;4.154839;7.1;;225.9;5.709677;4;2.6;973.087097;32.093548;26.430968;21.83871;;;
82886;31/07/2000;0000;4.505435;9.3;;203.3;5.717391;4;8;974.602174;30.183871;24.514667;19.993548;;;
82886;31/08/2000;0000;5.048352;9.3;;235.6;5.391304;6;5;975.115217;31.190323;25.205161;20.4;;;
82886;30/09/2000;0000;5.72069;9.5;;232.9;5.111111;6;7.1;973.57;32.193333;26.202667;21.353333;55.125;;
82886;31/10/2000;0000;5.507609;9.5;;289.4;4.408602;0;0;972.81828;33.983871;28.060645;22.529032;;;
82886;30/11/2000;0000;4.330337;9.5;;252.5;6.911111;6;17.1;970.258889;34.026667;28.410667;23.353333;55.486111;;
82886;31/12/2000;0000;3.17033;6.3;;247.6;6.623656;8;114.3;971.125806;33.376667;27.918;23.174194;58.907407;;
82886;31/01/2001;0000;4.309677;9.1;;270.5;6.150538;3;1.8;971.844086;33.73871;27.87871;22.593548;50.475;;
82886;28/02/2001;0000;3.040476;6.3;;170.5;7.493976;6;70.2;970.615476;33.085714;27.572143;23.164286;58.669643;;
82886;31/03/2001;0000;2.842222;7;;238.6;7.184783;8;259.3;971.690323;31.996774;26.553548;22.187097;65.854839;;
82886;30/04/2001;0000;4.085556;8.8;;247.1;6.477778;1;8.8;972.145556;32.773333;27.017333;22.12;57.125;;
82886;31/05/2001;0000;3.429032;6.5;;280;5.075269;1;0.3;972.783871;33.509677;27.706;22.413333;;;
82886;31/07/2001;0000;5.068132;9.1;;217.6;6.076087;6;5.4;977.580435;29.725806;24.418065;20.529032;;;
82886;31/08/2001;0000;5.770968;8.3;;240.4;5.163043;6;5.3;979.478495;29.325806;23.997333;19.535484;62.685484;;
82886;30/09/2001;0000;5.352809;7.8;;266.5;3.966667;0;0;975.821111;32.993333;26.876;21.406667;52.566667;;
82886;31/10/2001;0000;4.847312;8.8;;280.2;4.505376;4;31.8;974.487097;34.306452;28.26129;22.612903;50.532258;;
82886;30/11/2001;0000;4.357778;8.1;;300.9;4.511111;0;0;972.883333;35.246667;29.530667;23.76;44.391667;;
82886;31/12/2001;0000;5.127174;10.6;;259.7;6.72043;9;128.3;972.587097;34.577419;28.824516;23.851613;51.580645;;
82886;31/01/2002;0000;2.505376;7;;160.3;7.892473;18;214.6;974.216129;29.84;25.216774;22.180645;76.854839;;
82886;28/02/2002;0000;3.852381;7.8;;241.8;6.357143;1;0.3;974.255952;;;22.685714;59.223214;;
82886;31/03/2002;0000;3.794624;7.1;;250.2;6.548387;7;105.1;974.02043;;;22.812903;58.669355;;
82886;30/04/2002;0000;3.721111;7.6;;224.7;6.611111;3;25.8;973.726667;32.026667;26.98;22.573333;57.913793;;
82886;31/05/2002;0000;4.068611;7.5;;217.3;5.924731;5;10.1;975.311828;31.625806;26.499355;22.270968;59.298387;;
82886;30/06/2002;0000;;;;;;0;0;;;;;;;
82886;31/07/2002;0000;4.643178;9.6;;245.3;4.763441;7;8.2;977.52043;30.529032;25.008387;20.167742;59.201613;;
82886;31/08/2002;0000;5.151613;9.8;;279;4.655914;5;0.9;977.509677;30.629032;25.197419;20.051613;53;;
82886;30/09/2002;0000;4.75;8.6;;288;4.133333;0;0;975.412222;33.276667;27.51;22.066667;46.108333;;
82886;31/10/2002;0000;5.150538;9.5;;307.7;3.72043;0;0;973.637634;34.151613;28.362581;22.36129;44.725806;;
82886;30/11/2002;0000;4.708889;9.1;;288.3;5.011111;0;0;973.06;34.903333;29.408667;23.673333;42.1;;
82886;31/12/2002;0000;3.689247;7.6;;257;6.365591;7;99.3;972.694624;34.116129;28.720645;23.748387;51.330645;;
82886;31/01/2003;0000;2.894624;5.6;191.967999;260.5;5.956989;6;48.2;972.758065;34.296774;28.774839;24.309677;52.693548;;
82886;28/02/2003;0000;3.604762;6.6;169.426244;207;7.202381;7;23.5;973.246429;32.5;27.285714;22.95;59.267857;;
82886;31/03/2003;0000;3.070968;6.3;188.846921;249.5;6.849462;9;142.8;972.664516;32.6;27.413548;23.167742;60.541667;;
82886;30/04/2003;0000;3.1;7.3;168.431141;278.4;5.655556;6;99.7;973.446667;32.136667;26.985333;22.74;61.458333;;
82886;31/05/2003;0000;3.712903;7.6;158.782238;247.4;5.913978;5;26.9;974.6;31.73871;26.486667;22.283871;61.451613;;
82886;31/07/2003;0000;5.017544;8.6;87.75171;208.1;4.614035;6;9.9;978.775439;29.575862;24.307586;19.6;61.925926;;
82886;31/08/2003;0000;5.55;8;118.442581;271;4.080645;2;6.3;978.369355;31.422581;25.903871;20.883871;58;;
82886;30/09/2003;0000;5.503333;9.5;;272.3;3.533333;1;0.2;977.333333;32.513333;26.878667;21.046667;50.933333;;
82886;31/10/2003;0000;5.758065;9.6;;276.5;3.806452;0;0;975.496721;33.422581;27.769032;22.348387;52.096774;;
82886;30/11/2003;0000;4.903333;8.6;;271.9;4.883333;2;2.3;973.533333;34.353333;28.922667;23.44;50.8;;
82886;31/12/2003;0000;4.26129;9.8;;283.4;4.83871;1;2.6;973.520968;35.312903;29.972903;24.23871;43.344828;;
82886;31/01/2004;0000;3.037097;9.6;;158.7;7.951613;20;502.8;973.474194;31.532258;26.887742;23.051613;73;;
82886;29/02/2004;0000;2.572414;5.8;;225.8;6.948276;10;148.1;974.781034;30.982759;26.313103;22.572414;74.517241;;
82886;31/03/2004;0000;2.745161;7.5;;257.8;6.564516;7;62.2;974.224194;31.990323;26.873548;22.516129;69.83871;;
82886;30/04/2004;0000;3.386667;7.5;;240.3;5.85;1;0.4;974.721667;33.233333;27.864;23.34;60.233333;;
82886;31/05/2004;0000;3.68871;8.3;;228.3;5.887097;8;18.6;976.416393;31.235484;26.304516;21.967742;66.387097;;
82886;31/07/2004;0000;4.513115;7.5;;181.6;5.95082;3;2.9;978.02623;29.541935;24.339355;20.270968;65.666667;;
82886;31/08/2004;0000;5.041935;8;;252.2;4.580645;2;1.9;979.041935;30.719355;25.067097;20.187097;61.516129;;
82886;30/09/2004;0000;6.135;9.6;;243.5;4.101695;2;0.9;977.285;31.886667;26.042667;20.893333;55.1;;
