Estacao;Data;Hora;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvapoBHPotencial;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82893;31/01/1999;0000;4.101149;8.3;;257.8;5.444444;2;1.2;919.976667;30.12;22.930667;18.28;68.45;;
82893;28/02/1999;0000;4.1975;6.6;;207.1;6.130952;6;21.9;920.711905;29.075;22.725714;18.585714;72.017857;;
82893;31/03/1999;0000;3.643902;7.1;;233.9;6.131868;4;1.8;919.850549;29.632258;23.024667;18.346667;70.4;;
82893;30/04/1999;0000;3.49625;5.6;;257.1;5.566667;5;14.6;921.572222;28.706667;22.590667;18.913333;72.275;;
82893;31/05/1999;0000;3.0875;5.8;;197.4;7.204301;17;81.1;922.330108;25.751613;21.007097;17.632258;84.435484;;
82893;30/06/1999;0000;3.028125;5;;216.7;6.616279;18;41.6;923.173256;24.42;20.002857;16.935714;85.205357;;
82893;31/07/1999;0000;3.382927;7.1;;167.3;7.244444;25;94;924.862222;22.953333;18.566667;15.641379;88.225;;
82893;31/08/1999;0000;;;;168.6;7.648352;21;67.9;924.921978;22.677419;18.325517;15.351724;88.783333;;
82893;30/09/1999;0000;;;;205.1;7.544444;14;27.1;923.081111;24.54;19.61913;16.065217;85.516667;;
82893;31/10/1999;0000;;;;236.7;6.580645;10;92.4;922.422581;26.303226;20.685806;16.803226;81.83871;;
82893;30/11/1999;0000;;;;267.7;5.611111;0;0;920.718889;28.926667;22.296;17.706667;72.646552;;
82893;31/12/1999;0000;4.304301;8.8;;206.7;6.709677;9;44.7;920.319355;28.732258;22.400645;18.316129;73.41129;;
82893;31/01/2000;0000;3.339785;7.5;;218.5;6.806452;11;85.3;919.784946;27.709677;22.692174;18.522581;88.684783;;
82893;29/02/2000;0000;3.265517;7.5;;217.4;6.425287;5;46.1;920.977011;28.782759;22.666207;18.706897;87.672414;;
82893;31/03/2000;0000;3.653763;7.5;;214.9;7.096774;8;31.4;920.070968;28.56129;22.652258;18.951613;88.491935;;
82893;30/04/2000;0000;3.173333;6.8;;196.3;7.222222;18;75.4;921.096667;26.593333;21.792667;18.83;93.258333;;
82893;31/05/2000;0000;3.011828;6.6;;182.7;7.021505;20;85;922.862366;24.790323;20.622581;17.787097;95.379032;;
82893;30/06/2000;0000;;;;113.5;;23;181.2;;23.383333;;17.426667;;;
82893;31/07/2000;0000;;;;126.5;;25;153.3;;22.693548;;16.645161;;;
82893;31/08/2000;0000;;;;158.8;;22;166.1;;23.293548;;16.403226;;;
82893;30/09/2000;0000;;;;;;21;135.1;;24.32;;;94.016667;;
82893;31/10/2000;0000;;;;;;5;6.8;;26.422581;;;90.217742;;
82893;30/11/2000;0000;;;;;;7;10.9;;28.7;;;87.516667;;
82893;31/12/2000;0000;;;;;;7;81;;28.586667;;;85.782258;;
82893;31/01/2001;0000;3.881319;8.3;;238.5;5.934783;6;14.8;922.447826;27.680645;21.564516;17.858065;81.782258;;
82893;28/02/2001;0000;3.57381;6.6;;175.8;6.238095;2;0.7;921.146429;29.464286;22.777143;18.442857;80.160714;;
82893;31/03/2001;0000;3.261957;6.6;;209;6.774194;9;81.1;921.649462;28.912903;22.579355;18.758065;84.516129;;
82893;30/04/2001;0000;3.025843;6.6;;;6.775281;13;36.7;922.39;26.74;21.438667;18.24;86.525;;
82893;31/05/2001;0000;3.276344;8.6;;255.7;5.333333;4;10.5;922.615054;27.964516;21.978065;18.235484;84.266129;;
82893;30/06/2001;0000;;;;;8.366667;26;225.8;924.456667;23.276667;19.508667;17.193333;93.830357;;
82893;31/07/2001;0000;;;;111;8.763441;28;146.5;925.027957;22.848387;19.116129;16.990323;;;
82893;31/08/2001;0000;;;;164.4;8.25;27;101.7;926.676344;22.693548;18.387742;15.941935;93.548387;;
82893;30/09/2001;0000;;;;245.4;6.033708;12;21.4;923.83;25.266667;19.945333;16.653333;;;
82893;31/10/2001;0000;;;;233.7;6.290323;7;123;922.901075;26.996774;21.197419;17.612903;81.887097;;
82893;30/11/2001;0000;4.115556;8.3;;284.9;6.022222;2;2.9;921.613333;28.446667;22.134667;17.846667;75.083333;;
82893;31/12/2001;0000;4.494624;8.3;;215.3;7.193548;14;42;921.319355;28.519355;22.436129;18.809677;78.973214;;
82893;31/01/2002;0000;3.392473;8.8;;132;8.741935;21;216.4;921.764516;26.548387;21.77871;18.583871;86.651786;;
82893;28/02/2002;0000;3.202381;6.6;;186.4;6.72619;8;15.4;922.335714;27.4;21.997143;18.292857;80.75;;
82893;31/03/2002;0000;3.011828;7;;172.7;7.204301;15;75.9;922.011828;26.73871;21.832903;18.6;84.475;;
82893;30/04/2002;0000;2.626667;5;;161.6;8;15;83.8;921.647778;26.153333;21.508667;18.706667;84.732759;;
82893;31/05/2002;0000;2.870968;6.3;;143.7;8;18;171.3;922.970968;24.7;20.730323;18.125806;88.854839;;
82893;30/06/2002;0000;2.786364;7;;75.2;8.7;29;170.6;925.084444;22.646667;19.316667;17.17;93.233333;;
82893;31/07/2002;0000;2.74086;5.3;;141.9;8.075269;15;109.9;925.535484;23.793548;19.340645;16.56129;89.556452;;
82893;31/08/2002;0000;3.132258;6.3;;153.3;8.193548;26;124.4;925.578495;23.177419;18.80129;16.145161;89.25;;
82893;30/09/2002;0000;3.562921;8.3;;228.9;6.277778;12;16;924.084444;25.873333;19.974667;16.42;80.5;;
82893;31/10/2002;0000;3.627174;8.3;;243.5;6.462366;7;19;923.135484;26.896774;20.770968;16.958065;78.419355;;
82893;30/11/2002;0000;3.997778;12.6;;271.4;5.488889;6;15.3;922.653333;28.64;21.893333;17.66;71.825;;
82893;31/12/2002;0000;4.160215;7.5;;278.5;5.946237;3;172.9;922.117204;29.964516;23.144516;18.641935;70.798387;;
82893;31/01/2003;0000;3.994624;7.5;110.685743;271.2;4.946237;6;28.9;922.04086;30.258065;23.321935;19.022581;71.112903;;
82893;28/02/2003;0000;3.146429;5.3;103.487973;171;7.130952;13;43.9;922.207143;27.685714;22.245714;18.964286;79.142857;;
82893;31/03/2003;0000;3.386957;7;88.11157;192.6;7.597826;10;67.7;921.790217;28.041935;22.567742;18.983871;78.790323;;
82893;30/04/2003;0000;2.993333;6.6;93.233858;234.2;6.211111;12;55.7;922.268889;27.873333;22.285333;18.586667;79.025;;
82893;31/05/2003;0000;2.797849;6.1;82.097947;198.7;6.698925;15;56.9;923.15914;26.751613;21.779355;19.029032;81.927419;;
82893;30/06/2003;0000;2.615556;5.8;65.353224;122.8;7.677778;20;103.4;924.025556;23.666667;19.768667;17.923333;89.541667;;
82893;31/07/2003;0000;3.063333;5.8;61.750015;144.1;8.377778;27;116.7;925.667778;22.454839;18.811333;16.773333;89.175;;
82893;31/08/2003;0000;3.149462;6;62.692823;192.1;7.774194;19;51.7;925.405376;24.1;19.492258;17;85.862903;;
82893;30/09/2003;0000;3.213333;6.6;67.038358;174.8;7.366667;15;80.1;924.718889;24.573333;19.801333;16.926667;84.266667;;
82893;31/10/2003;0000;3.454839;5.8;83.46606;207;6.602151;12;19;923.044086;26.622581;20.847097;17.412903;79.008065;;
82893;30/11/2003;0000;3.722222;8;90.297256;256.3;6.1;4;9.1;921.573333;28.96;22.319333;18.136667;74.175;;
82893;31/12/2003;0000;3.996739;8.3;96.857911;276.2;5.913043;2;18.8;921.831522;29.806667;22.798;18.643333;70.675;;
82893;31/01/2004;0000;3.507527;7.3;97.464838;127;8.387097;20;191.8;920.815054;27.770968;22.356774;19.167742;83.080645;;
82893;29/02/2004;0000;3.214943;8;89.827954;191.3;7.534884;12;115.8;921.910345;27.182759;22.115862;18.927586;81.189655;;
82893;31/03/2004;0000;3.143011;6.6;95.142835;221.2;6.634409;9;62.3;921.649462;27.429032;22.190968;18.906452;79.604839;;
82893;30/04/2004;0000;2.825556;6.6;84.500704;177.2;7.566667;15;59.6;922.208889;26.58;21.990667;18.953333;83.116667;;
82893;31/05/2004;0000;2.664516;6.5;76.259861;162.4;8.086022;17;81.5;923.353763;25.803226;21.156129;18.429032;84.612903;;
82893;30/06/2004;0000;2.802222;5;63.633618;73.6;9.055556;29;247.7;925.627778;22.426667;19.28;17.42;92.408333;;
82893;31/07/2004;0000;2.962222;6.6;59.94786;117.4;8.924731;27;204.5;924.501111;22.332258;18.832667;16.719355;91.596774;;
82893;31/08/2004;0000;2.857778;6.6;64.988892;139.4;7.888889;21;91.3;925.901111;23.353333;19.022667;16.446667;88.45;;
82893;30/09/2004;0000;2.825556;5.8;67.26219;120.3;8.422222;18;113.2;924.706667;23.94;19.385333;16.833333;87.008333;;
82893;31/10/2004;0000;3.63913;9.1;80.192336;239.3;6.195652;4;4.3;922.725;26.936667;21.016667;17.206667;76.8;;
82893;30/11/2004;0000;3.926667;8;92.361914;256.8;5.011111;5;5.4;921.782222;28.813333;21.816667;17.644828;70.466667;;
82893;31/12/2004;0000;3.997849;7;;260.2;4.569892;1;6.3;921.345161;29.748387;22.155484;17.819355;65;;
82893;31/01/2005;0000;3.792308;8.6;;266.7;5.417582;3;19.7;920.83956;30.719355;23.15;18.496667;66.516667;;
82893;28/02/2005;0000;3.657143;6.8;;195.8;6.666667;8;69;920.695238;29.6;22.809286;18.760714;73.455357;;
82893;31/03/2005;0000;3.434066;8;;215.3;6.604396;9;195.6;921.584615;30.16;23.284138;19.073333;74.767241;;
82893;30/04/2005;0000;2.594444;5;;208.9;7.444444;13;49.2;922.103333;27.626667;22.562;18.963333;81.483333;;
