Estacao;Data;Hora;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvapoBHPotencial;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82753;31/01/1999;0000;2.207527;5.6;;200;5.688172;15;131.9;957.22043;31.425806;26.062581;22.064516;77.33871;;
82753;28/02/1999;0000;2.508434;7;;176;6.369048;7;81.5;957.778571;32.128571;26.313571;22.192857;74.25;;
82753;31/03/1999;0000;1.708696;5;;170.5;6.516129;17;270.7;957.449462;29.33871;24.574839;21.267742;85.467742;;
82753;30/04/1999;0000;2.375281;4.8;;228.4;4.677778;4;44.7;959.147778;29.79;24.362667;20.466667;82.841667;;
82753;31/05/1999;0000;2.629348;6.5;;202.4;5.387097;8;66;959.968817;30.470968;24.238065;19.803226;78.379032;;
82753;30/06/1999;0000;2.946667;6.3;;227.3;3.766667;1;0.1;960.77191;30.743333;24.086;18.883333;67.516667;;
82753;31/07/1999;0000;3.445455;6;;230.1;4.268817;4;8.2;962.205376;29.887097;23.354194;18.309677;65.612903;;
82753;31/08/1999;0000;3.734831;6;;254.5;3.580645;2;11.9;962.086022;30.451613;24.040645;19.209677;62.137097;;
82753;30/09/1999;0000;3.378161;5.8;;266.7;3.566667;4;45.8;959.393333;32.353333;25.58;20.136667;63.941667;;
82753;31/10/1999;0000;3.007527;6.3;;270.3;4.129032;6;111.8;958.862366;32.474194;26.063226;20.619355;66.427419;;
82753;30/11/1999;0000;2.457778;5;;234.6;5.122222;8;17.6;957.382222;31.733333;25.665333;21.33;76.8;;
82753;31/12/1999;0000;2.573913;6;;220.3;5.935484;7;96.7;956.950538;31.819355;26.257419;21.819355;74.798387;;
82753;31/01/2000;0000;;;;;;;0;;;;;;;
82753;29/02/2000;0000;2.232927;4.3;;180.8;6.325581;15;110.5;958.833721;30.806897;24.904138;21.003448;82.043103;;
82753;31/03/2000;0000;2.397849;5;;196.8;5.827957;9;91.9;957.715054;30.587097;24.661935;20.945161;83.056452;;
82753;30/04/2000;0000;2.38764;6.5;;192.4;6.333333;12;80.4;958.765556;30.59;24.822667;21.216667;81.316667;;
82753;31/05/2000;0000;2.924638;5.8;;205.3;5.172043;2;0.3;959.84086;31.290323;24.985161;20.490323;75.25;;
82753;30/06/2000;0000;3.337931;6.5;;176.3;5.888889;8;8.4;961.263333;29.973333;24.386;20.256667;73.058333;;
82753;31/07/2000;0000;3.366304;5.6;;178.4;5.397849;4;5.1;961.037634;30.225806;24.250323;19.535484;67.701613;;
82753;31/08/2000;0000;3.510989;6.1;;229.6;4.451613;3;4.4;961.584946;31.712903;25.176774;19.954839;64;;
82753;30/09/2000;0000;3.584444;6.6;;217.7;4.333333;3;1.2;960.021111;32.543333;26.304;21.15;;;
82753;31/10/2000;0000;3.233696;6;;288.9;3.430108;0;0;959.405376;34.23871;27.784516;22.135484;58.158333;;
82753;30/11/2000;0000;2.473563;5.3;;240.5;5.166667;9;59.3;957.032222;33.66;27.293333;22.366667;69.435185;;
82753;31/12/2000;0000;2.394382;6.3;;238.4;5.612903;8;125.8;958.125806;32.426667;26.766667;22.216129;;;
82753;31/01/2001;0000;2.353846;5.8;;224.5;5.666667;4;32.9;958.904301;32.283871;25.994667;21.325806;74.016129;;
82753;28/02/2001;0000;2.036145;5;;153.4;5.963855;6;71.8;957.90119;30.767857;25.547692;21.85;80.651786;;
82753;31/03/2001;0000;2.240659;4.8;;222.8;5.784946;10;248.1;958.789247;30.277419;24.94;21.067742;85.177419;;
82753;30/04/2001;0000;2.597753;6;;216.6;5.355556;5;28.2;959.307778;30.946667;24.964;20.736667;80.366667;;
82753;31/05/2001;0000;2.240698;5.5;;248.6;3.795455;4;4;959.790909;32.824138;26.304828;21.227586;69.715517;;
82753;30/06/2001;0000;3.047191;6.5;;176.2;5.944444;3;2.1;963.597778;30.303333;24.752667;20.573333;57.3;;
82753;31/07/2001;0000;3.475269;6.6;;203.5;5.053763;3;2.1;963.989247;30.212903;24.325333;19.9;58.41129;;
82753;31/08/2001;0000;4.004348;7.1;;231.6;4.193548;8;4;965.670968;30.009677;23.897419;19.177419;;;
82753;30/09/2001;0000;3.328889;7;;267.5;3.111111;0;0;961.9;33.083333;26.556667;20.696667;43.325;;
82753;31/10/2001;0000;2.872043;9.3;;281.4;3.72043;3;27.1;960.608602;34.396774;28.056129;22.312903;43;;
82753;30/11/2001;0000;2.771111;6;;289.1;3.711111;2;1.3;959.103333;35.463333;29.037241;23.17931;39.675;;
82753;31/12/2001;0000;3.11413;6.3;;235.4;5.255556;9;205.9;959.111111;33.444828;27.73931;22.927586;52.089286;;
82753;31/01/2002;0000;2.101087;5;;155.2;7.763441;17;370.3;960.850538;28.880645;24.452903;21.316129;78.798387;;
82753;28/02/2002;0000;2.730864;6;;;5.14759;4;24.9;960.832927;31.181481;25.552593;20.975;70.230769;;
82753;31/03/2002;0000;2.66101;5.18;;;5.967742;7;38.2;960.877174;32.190323;26.025161;21.690323;67.4;;
82753;30/04/2002;0000;2.625418;5.1444;;174.1;5.652778;5;38;960.05;31.065517;25.446897;21.23;69.068966;;
82753;31/05/2002;0000;2.876187;5.65884;;214.1;4.958333;4;5.6;961.697778;31.645161;25.812258;21.122581;61.25;;
82753;30/06/2002;0000;3.332428;6.68772;;191.9;5.736111;7;9.6;964.4;30.016667;24.533793;20.19;63.291667;;
82753;31/07/2002;0000;3.051159;5.6;;234.1;4.215054;6;26.6;964.389247;30.583871;24.447097;19.322581;55.435484;;
82753;31/08/2002;0000;3.484295;7.20216;;251.9;3.615591;3;3;964.145161;31.086667;24.592667;19.196774;54.416667;;
82753;30/09/2002;0000;3.331896;9.25992;;259.5;2.761628;0;0;962.248837;33.532143;26.954286;21.196667;43.053571;;
82753;31/10/2002;0000;3.24448;5.65884;;288;2.627841;;0;960.943182;34.596667;27.898571;21.624138;39.133333;;
82753;30/11/2002;0000;3.186518;6.8;;287.2;3.633333;1;1.5;960.303333;35.253333;28.763333;22.8;39.25;;
82753;31/12/2002;0000;2.690813;9.25992;;243.5;5.026882;10;161.2;960.182796;34.283871;28.252903;23.267742;51.306452;;
82753;31/01/2003;0000;2.375568;6.6;150.755803;231.4;5.430556;8;71.7;960.54;32.903571;27.2032;22.553571;58.931034;;
82753;28/02/2003;0000;2.43253;5.3;130.568646;153.6;6.963855;11;42.5;960.713253;31.567857;26.095;21.985714;64.223214;;
82753;31/03/2003;0000;2.254839;4.3;141.93417;216;5.623656;7;151.9;960.295699;31.474194;25.839355;21.558065;67.306452;;
82753;30/04/2003;0000;2.446667;4.6;133.684929;254.2;4.855556;5;29.2;961.033333;31.226667;25.441333;21.003333;65.908333;;
82753;31/05/2003;0000;2.411828;5.3;135.311392;203.4;5.172043;5;28.9;961.907609;31.219355;25.172903;20.709677;65.290323;;
82753;30/06/2003;0000;3.183333;5;129.810864;229.2;4.3;1;0.3;962.564444;30.886667;25.011333;20.303333;54.35;;
82753;31/07/2003;0000;3.167742;5.8;130.702265;222.2;4.612903;8;7.1;965.432258;29.948387;23.803871;18.670968;58.419355;;
82753;31/08/2003;0000;2.795161;5.5;138.254924;279.3;3.645161;1;4.5;964.760656;32.041935;25.63871;20.074194;52.185185;;
82753;30/09/2003;0000;3.24;6.3;;274.8;2.983051;0;0;963.863333;33.023333;26.533333;20.486667;45.96;;
82753;31/10/2003;0000;3.317742;6;;276.8;3.290323;0;0;961.701613;34.025806;27.634839;21.922581;44.142857;;
82753;30/11/2003;0000;2.975;5.8;;263.6;4.333333;2;8.4;960.115;34.806667;28.647333;23.006667;54.666667;;
