Estacao;Data;Hora;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvapoBHPotencial;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82983;31/01/1999;0000;2.717568;8;;235;5.364865;;88.9;966.652703;33.619355;28.72;24.141935;;;
82983;28/02/1999;0000;3.034524;5;;241.5;6.047619;;33.8;967.763095;34.442857;28.873571;24.164286;48.830357;;
82983;31/03/1999;0000;2.652688;5;;238.9;5.989247;;167.1;967.252688;32.267742;27.307097;23.196774;58.967742;;
82983;30/04/1999;0000;3.248889;5;;272.5;5.488889;;0;969.081111;33.283333;28.268667;23.75;48.683333;;
82983;31/05/1999;0000;3.382796;5;;222.2;5.376344;;4.2;969.955914;31.648387;26.559355;22.496774;54.83871;;
82983;30/06/1999;0000;3.651111;6.6;;246.9;4.388889;;1.6;971.047778;30.8;25.583333;21.123333;54.941667;;
82983;31/07/1999;0000;4.071084;6.6;;260.2;4.253012;;0.8;973.66506;30.325806;24.782581;20.064516;53.130952;;
82983;31/08/1999;0000;4.230682;5.8;;252.2;4.545455;;4.6;973.581818;29.496774;24.017419;19.651613;56.307692;;
82983;30/09/1999;0000;3.824444;5;;270.3;3.677778;;11.4;971.252222;31.613333;25.93;20.9;50.366667;;
82983;31/10/1999;0000;3.652688;5;;245.1;4.731183;;6.2;970.452688;32.670968;27.039355;22.06129;50.016129;;
82983;30/11/1999;0000;3.222989;6.6;;187.9;6.413793;;164.9;968.789655;32.88;27.310667;22.8;54.527778;;
82983;31/12/1999;0000;2.663636;5;;209.9;6.484848;;111.7;968.983333;31.370968;26.818065;22.996552;;;
82983;31/01/2000;0000;2.519737;5;;234.7;5.934211;10;76.6;969.227632;31.545161;26.728387;23.051613;;;
82983;29/02/2000;0000;2.583784;5;;227.1;6.554054;14;170.4;969.881081;31.282759;26.361379;22.551724;67.078125;;
82983;31/03/2000;0000;2.627957;5;;212.3;6.451613;7;57.3;969.4;31.241935;26.530323;22.72;63.169355;;
82983;30/04/2000;0000;3.09;5.3;;231.4;6.666667;7;67.2;970.367778;31.736667;26.658;22.79;62.25;;
82983;31/05/2000;0000;3.308602;9;;248.8;5.516129;2;12.6;971.688172;31.416129;26.196129;22.054839;58.225806;;
82983;30/06/2000;0000;3.688889;5;;203.6;5.311111;2;8.2;973.373333;29.88;24.876;21.21;60.883333;;
82983;31/07/2000;0000;3.5125;5;;266.1;3.8875;1;0.4;973.4975;30.077419;24.629032;20.196774;53.833333;;
82983;31/08/2000;0000;3.83956;5;;256;4.648352;0;0;973.738462;30.932258;25.42;20.8;;;
82983;30/09/2000;0000;4.007778;6.3;;261;4.404494;2;3;972.058427;32.203333;;21.67931;;;
82983;31/10/2000;0000;3.498925;5;;301.7;4.021739;2;6.6;971.348387;34.125806;28.267692;22.716129;40.927419;;
82983;30/11/2000;0000;2.963889;5;;243.1;5.753247;8;125.3;968.957143;32.126667;;23.023333;;;
82983;31/12/2000;0000;2.920339;5;;236.6;5.202899;7;109.7;970.575362;32.232143;27.308889;22.996774;;;
82983;31/01/2001;0000;3.160976;5;;290.2;5.209302;3;9.6;970.973256;33.064516;27.3325;22.86129;56.604167;;
82983;28/02/2001;0000;2.975714;5;;200.5;6.460526;7;70.7;969.360526;33.696429;28.168182;23.682143;;;
82983;31/03/2001;0000;2.729348;5;;221.5;6.83871;11;107;970.16129;32.906452;27.596774;23.177419;58.629032;;
82983;30/04/2001;0000;3.184444;5;;244.4;5.988889;2;0.4;970.804444;32.893333;27.573103;22.903333;;;
82983;31/05/2001;0000;2.841772;5;;234.8;4.253165;1;0.4;970.924051;33.753846;28.353636;23.473077;;;
82983;30/06/2001;0000;3.637079;5;;202.2;5.866667;9;41.3;973.777778;29.543333;24.8288;20.946667;62.931034;;
82983;31/07/2001;0000;3.772727;6.6;;244.5;5.693182;3;7.2;974.18046;29.625806;24.56;20.345161;61.14;;
82983;31/08/2001;0000;4.251807;6.6;;232.7;5.096386;2;1.2;975.981928;29.741935;24.4944;19.922581;57.702381;;
82983;30/09/2001;0000;3.685556;6.6;;259.8;3.566667;1;20.8;972.078889;32.653333;26.704286;21.616667;;;
82983;31/10/2001;0000;3.519355;6.6;;286.1;3.688172;0;0;970.630108;34.358065;28.467097;22.964516;49.008065;;
82983;30/11/2001;0000;3.2;5;;270.5;3.9;1;1.8;968.468889;35.326667;29.587333;23.97;43.041667;;
82983;31/12/2001;0000;3.484286;5;;254.2;6.027778;6;67.2;969.480556;34.3;28.730323;23.948387;;;
82983;31/01/2002;0000;2.6875;5;;179.4;7.273973;19;256.4;970.776712;30.141935;25.680645;22.390323;;;
82983;28/02/2002;0000;3.194048;5;;249.9;5.488095;4;38.3;970.265476;32.471429;27.194074;23.053571;58.428571;;
82983;31/03/2002;0000;3.265591;5;;251.1;6.032258;2;4.2;969.826882;33.593548;28.38129;23.819355;50.677419;;
82983;30/04/2002;0000;3.293333;5.8;;249.2;6.055556;4;20.3;969.631111;32.943333;27.673103;23.196667;52.2;;
82983;31/05/2002;0000;3.346237;5.8;;258.6;4.860215;4;10.3;971.264516;32.19;26.700645;22.441935;55.16129;;
82983;30/06/2002;0000;3.731111;5;;215.3;5.933333;3;2.6;973.987778;30.2;25.294483;21.286667;57.733333;;
82983;31/07/2002;0000;3.578495;5.8;;242.7;4.397849;2;1.6;974.258065;30.632258;25.292;21.046667;56.612903;;
82983;31/08/2002;0000;3.826882;5.3;;275.5;4.763441;0;0;974.069892;31.074194;25.574839;20.632258;50.275;;
82983;30/09/2002;0000;3.5;6.6;;269.1;3.977528;2;1.6;971.814444;33.406667;27.296;21.983333;47.141667;;
82983;31/10/2002;0000;3.621505;6.6;;310.1;3.741935;0;0;970.226882;34.706452;28.636774;22.86129;39.491935;;
82983;30/11/2002;0000;3.376667;9.7;;282.3;4.277778;3;11.7;969.831111;35.216667;29.282;23.856667;42.7;;
82983;31/12/2002;0000;2.5375;5.8;;242.2;4.958333;6;74.2;970.15;34.129032;28.875484;24.254839;55.524194;;
82983;31/01/2003;0000;2.332258;5;190.280662;275.9;5.44086;10;134.4;969.682796;34.458065;28.505806;24.032258;56.782258;;
82983;28/02/2003;0000;3;5.8;158.218402;225.3;5.988095;4;1.6;969.922619;33.317857;28.126429;23.928571;54.107143;;
82983;31/03/2003;0000;2.864516;5.3;180.882741;242.7;6.247312;6;101.4;969.469892;33.741935;28.402581;23.948387;54.540323;;
82983;30/04/2003;0000;2.793333;5;162.531;277.2;5.066667;3;43.9;970.065556;33.226667;28.069333;23.773333;54.658333;;
82983;31/05/2003;0000;3.191209;5.5;133.144975;221.5;5.537634;2;0.6;971.602151;31.619355;26.538065;22.916129;60.814516;;
82983;30/06/2003;0000;3.583333;5;109.314545;265;3.483333;0;0;973.831667;30.753333;25.386667;21.266667;64.733333;;
82983;31/07/2003;0000;3.587097;5;93.662634;239.6;3.935484;1;0.8;975.719355;29.341935;24.176129;20.170968;66.258065;;
82983;31/08/2003;0000;3.553226;5;123.685167;295.2;3.532258;1;0.4;974.870968;31.832258;25.823226;20.916129;62.870968;;
82983;30/09/2003;0000;3.525556;5;131.674053;275.4;3.944444;1;3.8;972.504444;32.913333;26.928;21.5;54.641667;;
82983;31/10/2003;0000;3.531183;5;170.033219;290.7;4.322581;1;3.8;970.358065;34.058065;28.108387;22.703226;47.629032;;
82983;30/11/2003;0000;3.186667;5.5;171.746818;261.7;4.733333;2;40.2;969.125556;33.72;28.074667;23.326667;50.708333;;
82983;31/12/2003;0000;2.751613;4.1;173.121637;295.4;4.031746;1;44.6;969.944444;35.519355;29.883226;24.373333;47.193548;;
82983;31/01/2004;0000;2.052688;5.8;161.764953;123.9;7.763441;18;416.8;968.697849;31.593548;26.68;23.206452;69.669355;;
82983;29/02/2004;0000;2.252874;4.1;146.54752;193.5;6.114943;11;138.6;970.06092;31.255172;26.568276;22.972414;67.215517;;
82983;31/03/2004;0000;2.245161;4.1;154.41256;237.8;6.387097;5;73.8;969.529032;31.651613;26.892903;23.135484;64.104839;;
82983;30/04/2004;0000;2.494444;4.1;136.695482;261.6;5.8;2;27.8;970.036667;32.933333;27.598667;23.526667;55;;
82983;31/05/2004;0000;2.936559;5;120.974355;260.2;5.064516;5;17.6;971.722581;31.554839;26.219355;21.954839;57.258065;;
82983;30/06/2004;0000;3.566667;5;99.83649;229.5;5.533333;0;0;974.231111;30.46;25.313333;21.16;54.291667;;
82983;31/07/2004;0000;3.530108;5.8;95.639574;234.7;5.129032;2;0.8;973.589247;29.806452;24.695484;20.4;53.669355;;
82983;31/08/2004;0000;3.523656;5;115.29457;285.1;3.903226;0;0;974.358065;31.064516;25.427097;20.683871;50.104839;;
82983;30/09/2004;0000;3.756667;6.6;133.087428;285.6;4.377778;0;0;972.516667;32.34;26.532;21.073333;44.216667;;
