Estacao;Data;Hora;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvapoBHPotencial;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82900;31/01/1999;0000;2.987097;5;;257.8;6.129032;10;44.7;;30.987097;27.369677;23.006452;70.830645;;
82900;28/02/1999;0000;3.590476;6.1;;211.6;6.321429;12;18.8;;31.128571;27.812143;24.146429;70.4375;;
82900;31/03/1999;0000;3.051613;6.6;;249.8;6.204301;13;196.9;1010.11828;30.63871;27.417419;23.719355;73.403226;;
82900;30/04/1999;0000;3.083333;5.3;;242.7;5.966667;13;103.4;;30.383333;27.005333;22.753333;73.8;;
82900;31/05/1999;0000;2.407527;6.6;;220.2;6.462366;27;306.1;;29.345161;25.836774;22.454839;81.403226;;
82900;30/06/1999;0000;2.741111;5;;223.2;6.077778;17;125.3;;28.67;25.084667;21.626667;80.4;;
82900;31/07/1999;0000;3.321505;9.2;;205;6.645161;22;259.6;;27.858065;24.295484;20.990323;79.306452;;
82900;31/08/1999;0000;3.211828;6.1;;214;6.645161;25;142.2;;27.503226;23.826452;20.151613;79.177419;;
82900;30/09/1999;0000;3.483333;6.5;;203.7;6.966667;19;72.8;;28.23;25.307333;22.2;75.775;;
82900;31/10/1999;0000;3.165591;6.1;;257.3;6.430108;13;90.3;1013.35914;29.051613;25.858065;22.264516;73.322581;;
82900;30/11/1999;0000;3.195556;5;;257.5;6.344444;11;18.9;;30.176667;26.791333;22.81;71.475;;
82900;31/12/1999;0000;3.517204;6.3;;210.6;6.870968;25;104.9;;30.235484;27.160645;23.848387;73.282258;;
82900;31/01/2000;0000;2.656989;5;;228.8;6.827957;17;276.4;;29.945161;26.725806;22.870968;76.483871;;
82900;29/02/2000;0000;2.868966;5.8;;204.5;6.62069;13;87.9;;30.306897;27.01931;23.237931;76.87069;;
82900;31/03/2000;0000;2.875269;5.6;;221.9;6.526882;23;174.1;;30.316129;27.174839;23.219355;74.854839;;
82900;30/04/2000;0000;2.438889;6.3;;189.8;6.977778;27;435.4;;29.616667;26.374;23.186667;82.875;;
82900;31/05/2000;0000;2.711828;6.6;;205.5;7.107527;22;265.4;1012.15914;29.196774;25.672903;22.287097;82.798387;;
82900;30/06/2000;0000;2.588889;5.8;;133.2;7.755556;26;562.9;;27.93;24.757333;21.973333;86.016667;;
82900;31/07/2000;0000;2.141935;5.6;;121.5;7.83871;29;575;;27.035484;24.045161;21.580645;86.841667;;
82900;31/08/2000;0000;2.443011;5.8;;198;7.064516;21;443.4;;27.558065;24.430968;21.248387;81.104839;;
82900;30/09/2000;0000;2.561628;6;;163;7.322222;27;336.1;;28.216667;25.089333;21.603333;80.358333;;
82900;31/10/2000;0000;3.301136;6.3;;219.5;6.755556;18;58.2;1013.77957;29.112903;26.148387;22.786667;72.983871;;
82900;30/11/2000;0000;2.976667;5.3;;244.8;6.322222;10;45.1;;29.746667;26.425333;22.366667;73.025;;
82900;31/12/2000;0000;2.341935;4.5;;224.3;6.55914;8;99.1;1011.83871;29.33871;26.072903;22.083871;76.524194;;
82900;31/01/2001;0000;3.244086;6.3;;244.5;6.408602;13;58.8;;29.825806;26.59871;22.445161;72.4;;
82900;28/02/2001;0000;3.228571;5;;237.9;6.202381;12;56.5;;30.871429;27.332143;23.157143;72;;
82900;31/03/2001;0000;2.831183;6.6;;211.8;6.225806;19;133.7;;30.4;27.021935;23.16129;76.806452;;
82900;30/04/2001;0000;2.614444;6;;173.3;7.277778;23;327.8;1011.95;29.606667;26.030667;22.606667;81.941667;;
82900;31/05/2001;0000;2.350538;5;;249.9;5.795699;10;59.5;;29.967742;26.212258;21.841935;78.306452;;
82900;30/06/2001;0000;2.492222;5.8;;155.9;7.277778;26;432.4;;28.403333;24.607333;21.52;85.433333;;
82900;31/07/2001;0000;2.709677;6.3;;197;6.860215;31;355.5;;27.809677;24.438065;21.370968;84.024194;;
82900;31/08/2001;0000;3.545161;6.3;;217.2;6.387097;25;211;;27.690323;24.536774;21.370968;78.024194;;
82900;30/09/2001;0000;3.362222;6.6;;217.4;6.666667;16;106.3;;28.38;25.343333;22.07;76.958333;;
82900;31/10/2001;0000;2.917204;5.8;;184.7;6.698925;11;103.7;;29.219355;26.066452;23.258065;78.258065;;
82900;30/11/2001;0000;3.163333;5;;237;6.133333;9;32.1;;30.003333;26.772;23.293333;74.316667;;
82900;31/12/2001;0000;3.668817;5.6;;213.5;6.806452;22;109;;30.164516;27.265161;24.387097;77.685484;;
82900;31/01/2002;0000;2.382796;5;;157;7.387097;23;231.6;;29.606452;26.495484;23.258065;80.887097;;
82900;28/02/2002;0000;2.903571;6.6;;195.2;6.845238;16;199.5;;30.067857;26.88;23.514286;77.767857;;
82900;31/03/2002;0000;2.629032;5;;206;6.774194;25;409.8;;29.819355;26.612903;23.354839;80.879032;;
82900;30/04/2002;0000;2.94;6.6;;194.9;7.022222;23;140.2;;29.833333;26.49;22.986667;80.025;;
82900;31/05/2002;0000;2.924731;5.8;;170.5;6.935484;21;304.2;;29.096774;26.04;23.06129;81.935484;;
82900;30/06/2002;0000;2.722222;5.6;;155.4;7.522222;25;583.5;;27.803333;24.828;22.236667;84.65;;
82900;31/07/2002;0000;2.608602;5.8;;163.5;7.064516;24;282.3;;27.670968;24.525806;21.825806;83.306452;;
82900;31/08/2002;0000;3.553763;6.6;;200.7;6.870968;25;124.2;;27.825806;24.682581;21.158065;77.653226;;
82900;30/09/2002;0000;2.98;5.3;;243.5;5.844444;12;42.5;;28.656667;25.462667;21.426667;72.541667;;
82900;31/10/2002;0000;3.039785;5;;189.1;6.537634;12;49;;29.022581;26.032258;22.767742;74.112903;;
82900;30/11/2002;0000;2.945556;5;;199;6.47191;13;87.7;1013.23;29.74;26.210667;22.543333;75.183333;;
82900;31/12/2002;0000;2.753763;5.3;;242.3;6.268817;10;33.1;;30.693548;27.22;23.506452;74.024194;;
82900;31/01/2003;0000;2.473118;4.5;160.151038;228.6;5.956989;12;53.3;;31.43871;27.337419;22.583871;73.048387;;
82900;28/02/2003;0000;2.640476;5;136.874482;175.1;6.75;21;158.5;1011.925;30.514286;26.907857;23;77.303571;;
82900;31/03/2003;0000;2.030108;4.8;143.522319;197.9;6.677419;25;397.9;;30.364516;26.621935;22.922581;81.532258;;
82900;30/04/2003;0000;2.37;4.5;129.433913;232.7;5.777778;18;116.1;;30.456667;26.667333;22.73;79.208333;;
82900;31/05/2003;0000;2.07957;5;128.246544;212.6;6.010753;19;225.9;;30.012903;26.023226;22.606452;81.951613;;
82900;30/06/2003;0000;1.744444;4.3;97.973126;148.1;6.788889;24;474.5;1014.07;27.986667;24.347333;21.37;85.95;;
82900;31/07/2003;0000;1.911828;5;97.401657;205.9;6.516129;26;282.2;;27.445161;24.004516;21.083871;83.596774;;
82900;31/08/2003;0000;2.030108;7.5;100.134235;234.8;6.010753;24;194.8;;27.825806;24.134194;20.732258;81.322581;;
82900;30/09/2003;0000;2.538889;5;;241;5.933333;18;136;;28.533333;25.139333;21.743333;77.35;;
82900;31/10/2003;0000;2.550538;5.1;;248.9;6.16129;18;52.3;1013.52043;29.483871;26.047097;22.512903;74.330645;;
82900;30/11/2003;0000;2.373333;4.3;;265.8;5.244444;11;26.8;;30.69;26.936;23.256667;72.341667;;
82900;31/12/2003;0000;2.678889;7.3;;266.7;5.548387;16;51.5;;31.306452;27.335484;23.523333;71.919355;;
82900;31/01/2004;0000;1.925843;4.6;;148.2;7.44086;22;249.9;;30.66129;26.876774;23.674194;79.177419;;
82900;29/02/2004;0000;1.896512;4.8;;185.4;6.816092;17;226;;30.675862;26.72069;22.868966;79.189655;;
82900;31/03/2004;0000;2.169892;6;;228.6;6.27957;19;168.8;1011.27957;30.735484;26.917419;23.193548;77.169355;;
82900;30/04/2004;0000;1.915556;4.3;;178.2;6.8;26;378.2;1011.85;30.09;26.345333;22.963333;82;;
82900;31/05/2004;0000;1.466667;4.6;;166.6;7.021505;28;327.7;;29.341935;25.270323;22.23871;86.120968;;
82900;30/06/2004;0000;1.614444;4.5;;92.6;7.955556;27;537.3;;28.293333;24.432;21.727586;88;;
82900;31/07/2004;0000;1.730108;3.8;;149.3;6.814516;24;359.8;;27.890323;23.834839;20.625806;86.08871;;
82900;31/08/2004;0000;1.943478;5;;225.6;6.172043;23;138.9;;28.396774;23.945161;20.012903;82.459677;;
82900;30/09/2004;0000;2.52;4.8;;222.8;6.577778;18;81.1;;28.643333;24.875333;21.173333;78.166667;;
82900;31/10/2004;0000;2.721051;5;;262.3;5.768817;9;33.6;;29.641935;25.987097;22.16129;73.846774;;
82900;30/11/2004;0000;2.802222;5;;255.9;5.688889;6;18.2;;30.55;26.714;22.896667;71.058333;;
82900;31/12/2004;0000;2.829032;5;;285.5;5.623656;9;13.2;;31.032258;27.085806;22.735484;69.419355;;
82900;31/01/2005;0000;2.684946;4.6;;262.9;6.021505;6;14.3;;31.467742;27.631613;23.267742;70.629032;;
82900;28/02/2005;0000;2.457143;4.8;;214.7;6.107143;16;80.4;;31.682143;27.695714;23.85;74.919643;;
82900;31/03/2005;0000;2.403261;4;;239.3;6.391304;13;75.9;;31.864516;28.148387;23.873333;72.591667;;
82900;30/04/2005;0000;2.141111;4.6;;239.1;6.355556;21;168.1;;30.62;27.222667;23.16;78.308333;;
82900;31/05/2005;0000;1.702151;6.5;;161.8;7.430108;25;507.1;;29.5;25.811613;22.341935;86.096774;;
