Estacao;Data;Hora;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvapoBHPotencial;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82797;31/01/1999;0000;3.674194;5.8;;252.1;6.698925;1;4.6;963.264516;31.283871;24.952258;21.441935;70.669355;;
82797;28/02/1999;0000;5.183333;7.8;;209.8;6.738095;7;21.6;963.405952;31.878571;25.415714;21.196429;70.223214;;
82797;31/03/1999;0000;4.066667;7.5;;251.5;6.483871;4;93.3;962.646237;31.667742;25.587742;21.467742;71.862903;;
82797;30/04/1999;0000;4.751111;8;;247.2;6.333333;5;9.1;963.937778;31.81;25.702667;21.38;69.408333;;
82797;31/05/1999;0000;4.027957;7.8;;232.2;6.623656;8;45.2;964.593548;29.296774;24.56129;20.580645;74.419355;;
82797;30/06/1999;0000;4.535556;8.3;;256.9;6.466667;5;41.2;965.374444;29.003333;24.118;19.656667;74.183333;;
82797;31/07/1999;0000;4.491398;9.1;;196.6;7.236559;14;98.4;967.489247;26.296774;22.779355;18.574194;80.080645;;
82797;31/08/1999;0000;4.621505;10.8;;225.5;7.344086;14;23.8;967.687097;26.590323;22.418065;17.870968;79.612903;;
82797;30/09/1999;0000;4.871111;8.8;;252.9;6.744444;4;20.4;965.935556;28.72;23.662;19.306667;74.483333;;
82797;31/10/1999;0000;4.766304;8.5;;262.4;6.354839;6;29;965.380645;29.903226;24.229677;20.080645;71.419355;;
82797;30/11/1999;0000;4.705556;8.6;;279.8;6.022222;0;0;964.005556;32.02;25.432;21.066667;66.508333;;
82797;31/12/1999;0000;4.848387;9.1;;237.8;6.88172;11;142.5;964.598925;30.987097;25.119355;21.319355;71.516129;;
82797;31/01/2000;0000;3.408602;7.3;;245.9;6.83871;10;57.1;964.526882;30.470968;24.769032;20.841935;77.282258;;
82797;29/02/2000;0000;4.442373;7.5;;;7.033898;9;77;965.242373;;;;;;
82797;31/03/2000;0000;4.276923;8.6;;252.1;6.571429;9;29.5;964.635556;31.573333;25.574;21.021429;71.375;;
82797;30/04/2000;0000;3.955556;7.8;;206.1;7.233333;17;129.5;965.547778;29.993333;24.684667;20.953333;80.05;;
82797;31/05/2000;0000;3.749462;7;;232;6.849462;20;87.1;967.051613;28.583871;23.649677;19.729032;80.193548;;
82797;30/06/2000;0000;3.571111;7.5;;131.8;7.9;18;151.8;968.355556;26.436667;22.474444;19.66;;;
82797;31/07/2000;0000;3.975;6.6;;132.6;8.16129;26;114.3;968.098925;25.783871;21.853333;19.119355;;;
82797;31/08/2000;0000;3.453763;6.6;;181.4;7.311828;22;100.5;969.21828;26.180645;21.742857;18.387097;;;
82797;30/09/2000;0000;4.266667;7.1;;188.6;7.288889;23;117.1;968.141111;27.063333;22.245333;18.633333;;;
82797;31/10/2000;0000;4.766667;8.3;;262.9;6.569892;7;15.2;968.14086;28.958065;22.951333;18.525806;;;
82797;30/11/2000;0000;4.743333;8.3;;275.4;6.166667;4;8.9;965.351111;31.556667;24.5;19.253333;;;
