Latitude,Longitude,DirectNormal,DifuseRadiation,FotoActive,GlobalHorizonta,PlanoInclinado,InsolacaoTotal,PreciptacaoTotal,TempMaxMedia,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,Altitude,Umidade,TempMinimaMedia,PressaoMedia,Em_SARAH,Hm_SARAH,SDm_SARAH,Em_NSRDB,Hm_NSRDB,SDm_NSRDM
-9.5005,-40.749,5668,2047,5834,5811,2454,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,140.0,184,4.07,145.0,191,3.02
-9.5005,-40.649,5582,2060,5787,5766,2439,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,140.0,184,3.98,143.0,188,2.89
-9.5005,-40.549,5468,2079,5740,5722,2418,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,138.0,182,4.31,139.0,184,2.86
-9.4005,-40.749,5683,2046,5833,5813,2457,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,141.0,186,3.85,142.0,187,2.6
-9.4005,-40.649,5652,2038,5809,5790,2450,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,139.0,184,4.09,142.0,188,2.97
-9.4005,-40.549,5552,2057,5783,5767,2439,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,140.0,185,3.72,145.0,191,2.85
-9.4005,-40.449,5457,2083,5740,5726,2418,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,140.0,184,3.97,142.0,187,3.06
-9.4005,-40.349000000000004,5574,2049,5770,5752,2430,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,137.0,180,4.38,140.0,185,2.79
-9.4005,-37.049,4866,2164,5409,5415,2322,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,134.0,177,5.08,136.0,179,3.07
-9.4005,-36.949,4806,2181,5376,5381,2308,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,134.0,177,5.07,135.0,178,3.46
-9.3005,-40.749,5715,2033,5834,5817,2456,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,140.0,185,4.28,142.0,187,3.38
-9.3005,-40.649,5694,2030,5820,5804,2455,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,140.0,184,4.28,142.0,187,3.53
-9.3005,-40.549,5632,2041,5799,5785,2444,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,139.0,184,4.25,142.0,187,3.37
-9.3005,-40.449,5608,2039,5778,5763,2438,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,137.0,180,4.48,141.0,186,3.33
-9.3005,-40.349000000000004,5498,2062,5733,5718,2416,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,135.0,178,4.99,139.0,184,2.97
-9.3005,-38.249,5082,2148,5597,5596,2381,245.6159139784946,43.801036269430064,32.69350291351351,4.100098299465241,7.922179893048128,341.46,57.292606596685104,22.33311053475936,973.9977232994652,136.0,179,3.67,148.0,195,3.35
-9.3005,-38.149,4989,2158,5526,5528,2351,237.22620320855617,56.047150259067365,29.51119107291667,3.720392776595744,7.025531157894738,680.6999999999998,76.99311193406594,18.407278821989532,938.20152175,135.0,178,3.56,140.0,185,3.21
-9.3005,-37.149,4881,2147,5415,5422,2322,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,135.0,179,4.38,137.0,180,3.63
-9.3005,-37.049,4786,2179,5363,5370,2295,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,135.0,178,4.59,132.0,175,3.05
-9.3005,-36.949,4917,2160,5421,5427,2320,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,133.0,176,5.16,135.0,178,3.91
-9.3005,-36.849000000000004,4853,2164,5399,5405,2311,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,138.0,182,4.32,135.0,179,3.51
-9.3005,-36.749,4849,2163,5397,5403,2312,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,135.0,178,4.38,138.0,182,3.68
-9.3005,-36.649,4692,2171,5325,5338,2289,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,130.0,172,4.77,134.0,176,4.2
-9.3005,-36.549,4456,2210,5218,5231,2251,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,132.0,175,4.01,129.0,171,3.73
