ID;UF;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
35974;Pernambuco;-40.7490;-9.5005;2047;2235;2365;2250;2087;1845;1685;1721;1855;1970;2090;2137;2323
35975;Pernambuco;-40.6490;-9.5005;2060;2277;2378;2253;2107;1863;1699;1741;1878;1965;2081;2139;2335
35976;Pernambuco;-40.5490;-9.5005;2079;2245;2394;2283;2107;1889;1732;1768;1906;1974;2107;2214;2324
36352;Pernambuco;-40.7490;-9.4005;2046;2251;2377;2256;2082;1848;1678;1722;1873;1962;2069;2138;2297
36353;Pernambuco;-40.6490;-9.4005;2038;2262;2365;2264;2095;1866;1695;1730;1859;1894;2032;2122;2278
36354;Pernambuco;-40.5490;-9.4005;2057;2229;2358;2260;2100;1872;1726;1769;1904;1941;2071;2200;2255
36355;Pernambuco;-40.4490;-9.4005;2083;2225;2345;2256;2110;1905;1748;1813;1933;2029;2135;2222;2270
36356;Pernambuco;-40.3490;-9.4005;2049;2213;2323;2221;2079;1878;1717;1783;1867;1956;2111;2172;2264
36389;Pernambuco;-37.0490;-9.4005;2164;2354;2425;2290;2142;1965;1842;1910;2084;2156;2255;2228;2320
36390;Pernambuco;-36.9490;-9.4005;2181;2384;2458;2322;2166;1965;1850;1896;2092;2179;2284;2259;2320
36730;Pernambuco;-40.7490;-9.3005;2033;2223;2361;2264;2091;1856;1704;1714;1838;1910;2033;2112;2282
36731;Pernambuco;-40.6490;-9.3005;2030;2235;2354;2245;2092;1859;1707;1721;1836;1904;2032;2113;2262
36732;Pernambuco;-40.5490;-9.3005;2041;2243;2375;2254;2094;1867;1729;1745;1874;1928;2041;2113;2233
36733;Pernambuco;-40.4490;-9.3005;2039;2249;2392;2247;2077;1859;1722;1745;1850;1901;2032;2148;2240
36734;Pernambuco;-40.3490;-9.3005;2062;2280;2412;2260;2088;1871;1715;1764;1858;1933;2085;2198;2278
36755;Pernambuco;-38.2490;-9.3005;2148;2335;2415;2245;2053;1927;1835;1915;2038;2113;2253;2309;2342
