ID;UF;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
35974;Pernambuco;-40.7490;-9.5005;5668;6173;5241;5408;4725;5075;5211;5495;6061;6321;5986;6396;5923
35975;Pernambuco;-40.6490;-9.5005;5582;6040;5233;5380;4647;4964;5054;5346;5877;6315;5978;6300;5851
35976;Pernambuco;-40.5490;-9.5005;5468;6056;5171;5296;4613;4788;4835;5082;5744;6248;5879;6082;5821
36352;Pernambuco;-40.7490;-9.4005;5683;6128;5244;5397;4791;5068;5230;5535;5954;6348;6058;6434;6004
36353;Pernambuco;-40.6490;-9.4005;5652;6121;5262;5368;4700;4921;5065;5351;5903;6534;6134;6437;6029
36354;Pernambuco;-40.5490;-9.4005;5552;6138;5342;5387;4710;4826;4873;5095;5734;6337;5959;6139;6082
36355;Pernambuco;-40.4490;-9.4005;5457;6164;5274;5416;4703;4663;4765;4930;5591;6093;5738;6105;6040
36356;Pernambuco;-40.3490;-9.4005;5574;6188;5296;5583;4875;4719;4894;5018;5800;6323;5812;6280;6097
36389;Pernambuco;-37.0490;-9.4005;4866;5792;5032;5379;4650;3786;3429;3513;4090;4967;5335;6272;6152
36390;Pernambuco;-36.9490;-9.4005;4806;5645;4937;5286;4541;3750;3401;3538;4024;4890;5257;6237;6162
36730;Pernambuco;-40.7490;-9.3005;5715;6246;5225;5409;4822;4961;5141;5466;6075;6503;6172;6516;6040
36731;Pernambuco;-40.6490;-9.3005;5694;6257;5230;5483;4803;4869;5039;5356;6018;6494;6163;6512;6110
36732;Pernambuco;-40.5490;-9.3005;5632;6137;5301;5457;4789;4862;4891;5198;5839;6412;6080;6389;6234
36733;Pernambuco;-40.4490;-9.3005;5608;6068;5207;5451;4830;4840;4839;5163;5901;6476;6062;6281;6179
36734;Pernambuco;-40.3490;-9.3005;5498;5895;5124;5446;4850;4721;4730;5051;5776;6354;5850;6153;6023
36755;Pernambuco;-38.2490;-9.3005;5082;5836;5510;5524;5130;4242;3802;3890;4468;5268;5263;6017;6031
