ID;UF;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
35974;Pernambuco;-40.7490;-9.5005;5834;6026;5892;6019;5454;5296;5130;5383;5988;6417;6271;6230;5904
35975;Pernambuco;-40.6490;-9.5005;5787;5972;5890;5991;5419;5232;5033;5294;5887;6401;6253;6192;5872
35976;Pernambuco;-40.5490;-9.5005;5740;5966;5872;5975;5391;5148;4950;5175;5832;6367;6201;6144;5861
36352;Pernambuco;-40.7490;-9.4005;5833;6025;5891;6015;5464;5286;5126;5390;5939;6417;6286;6227;5927
36353;Pernambuco;-40.6490;-9.4005;5809;6011;5888;5987;5428;5204;5054;5285;5895;6473;6318;6229;5933
36354;Pernambuco;-40.5490;-9.4005;5783;6006;5965;6035;5448;5161;4972;5196;5846;6405;6248;6162;5953
36355;Pernambuco;-40.4490;-9.4005;5740;6019;5925;6033;5441;5100;4915;5122;5764;6309;6151;6152;5944
36356;Pernambuco;-40.3490;-9.4005;5770;6005;5912;6095;5510;5106;4949;5134;5828;6391;6158;6183;5965
36389;Pernambuco;-37.0490;-9.4005;5409;5820;5730;5961;5439;4674;4282;4417;4974;5661;5830;6142;5976
36390;Pernambuco;-36.9490;-9.4005;5376;5744;5689;5920;5381;4647;4268;4414;4935;5636;5782;6129;5965
36730;Pernambuco;-40.7490;-9.3005;5834;6036;5865;6007;5486;5214;5105;5341;5985;6479;6328;6235;5924
36731;Pernambuco;-40.6490;-9.3005;5820;6050;5857;6031;5490;5161;5045;5284;5938;6462;6318;6260;5940
36732;Pernambuco;-40.5490;-9.3005;5799;6006;5932;6053;5482;5150;4966;5209;5864;6425;6284;6207;6011
36733;Pernambuco;-40.4490;-9.3005;5778;5971;5876;6036;5487;5132;4939;5181;5873;6437;6257;6166;5977
36734;Pernambuco;-40.3490;-9.3005;5733;5909;5837;6040;5501;5081;4885;5125;5786;6402;6167;6136;5930
36755;Pernambuco;-38.2490;-9.3005;5597;5936;6105;6119;5690;4946;4486;4675;5231;5892;5910;6161;6015
36756;Pernambuco;-38.1490;-9.3005;5526;5917;5939;5982;5582;4834;4385;4591;5119;5841;5919;6226;5975
36766;Pernambuco;-37.1490;-9.3005;5415;5817;5756;5989;5465;4656;4253;4388;4865;5741;5924;6164;5961
36767;Pernambuco;-37.0490;-9.3005;5363;5783;5648;5897;5387;4631;4214;4395;4863;5634;5813;6144;5952
36768;Pernambuco;-36.9490;-9.3005;5421;5779;5704;5921;5426;4672;4288;4444;4984;5749;5893;6183;6010
36769;Pernambuco;-36.8490;-9.3005;5399;5729;5732;5924;5466;4664;4264;4377;4955;5696;5853;6141;5984
36770;Pernambuco;-36.7490;-9.3005;5397;5696;5763;5870;5459;4618;4233;4404;4954;5724;5832;6222;5989
36771;Pernambuco;-36.6490;-9.3005;5325;5709;5708;5865;5365;4487;4061;4206;4751;5603;5843;6266;6033
36772;Pernambuco;-36.5490;-9.3005;5218;5627;5585;5819;5303;4440;3949;4079;4631;5485;5661;6096;5943
36773;Pernambuco;-36.4490;-9.3005;5263;5614;5674;5839;5378;4523;4042;4180;4745;5499;5686;6095;5882
37109;Pernambuco;-40.6490;-9.2005;5779;5980;5762;5943;5431;5134;5028;5259;5957;6503;6301;6179;5873
37110;Pernambuco;-40.5490;-9.2005;5788;5902;5835;5949;5511;5147;4985;5278;5976;6489;6279;6179;5931
37111;Pernambuco;-40.4490;-9.2005;5720;5858;5775;5926;5459;5081;4872;5178;5851;6424;6214;6130;5870
37112;Pernambuco;-40.3490;-9.2005;5701;5866;5772;5975;5431;5029;4804;5125;5795;6428;6175;6145;5867
37113;Pernambuco;-40.2490;-9.2005;5623;5791;5715;5832;5390;4962;4738;5019;5721;6363;6101;6088;5749
37132;Pernambuco;-38.3490;-9.2005;5634;5995;6055;6126;5698;4923;4503;4657;5318;6057;6052;6147;6075
37133;Pernambuco;-38.2490;-9.2005;5577;5983;5953;6089;5628;4926;4410;4595;5177;5957;5963;6240;6008
37134;Pernambuco;-38.1490;-9.2005;5559;5949;5899;6034;5600;4879;4380;4580;5166;5937;6004;6269;6006
37135;Pernambuco;-38.0490;-9.2005;5523;5911;5862;5996;5569;4827;4363;4538;5132;5875;5974;6235;5987
37136;Pernambuco;-37.9490;-9.2005;5572;5962;5857;6099;5593;4822;4435;4557;5196;5905;6031;6348;6056
37143;Pernambuco;-37.2490;-9.2005;5471;5881;5798;6041;5502;4693;4318;4490;4977;5795;5972;6187;5997
37144;Pernambuco;-37.1490;-9.2005;5504;5884;5820;6080;5570;4745;4373;4535;5023;5804;5971;6224;6023
37145;Pernambuco;-37.0490;-9.2005;5407;5742;5726;6004;5441;4619;4234;4397;4894;5718;5899;6239;5977
37146;Pernambuco;-36.9490;-9.2005;5388;5700;5679;5978;5443;4628;4210;4391;4930;5704;5836;6195;5962
37147;Pernambuco;-36.8490;-9.2005;5404;5697;5673;5949;5468;4692;4271;4429;5021;5708;5827;6155;5958
37148;Pernambuco;-36.7490;-9.2005;5372;5687;5715;5910;5419;4561;4171;4314;4892;5719;5860;6219;5999
37149;Pernambuco;-36.6490;-9.2005;5345;5715;5716;5901;5401;4516;4098;4257;4826;5631;5853;6216;6008
37150;Pernambuco;-36.5490;-9.2005;5220;5626;5561;5751;5325;4452;4042;4170;4734;5466;5611;6046;5859
37151;Pernambuco;-36.4490;-9.2005;5232;5630;5630;5804;5314;4463;4048;4116;4713;5471;5657;6057;5884
37152;Pernambuco;-36.3490;-9.2005;5130;5545;5528;5736;5279;4402;3957;3993;4586;5306;5496;5933;5796
37153;Pernambuco;-36.2490;-9.2005;5122;5518;5549;5700;5279;4429;3960;4041;4554;5326;5472;5860;5772
37485;Pernambuco;-40.8490;-9.1005;5794;5890;5693;5791;5429;5200;5113;5339;6101;6594;6333;6175;5865
37486;Pernambuco;-40.7490;-9.1005;5783;5925;5741;5872;5403;5161;5053;5289;6009;6581;6317;6171;5881
37487;Pernambuco;-40.6490;-9.1005;5766;5924;5717;5882;5419;5151;4993;5269;5973;6538;6295;6171;5863
37488;Pernambuco;-40.5490;-9.1005;5744;5883;5751;5875;5447;5107;4892;5201;5968;6515;6296;6137;5855
37489;Pernambuco;-40.4490;-9.1005;5708;5817;5738;5869;5411;5063;4837;5123;5893;6488;6267;6142;5852
37490;Pernambuco;-40.3490;-9.1005;5714;5837;5755;5936;5430;5058;4816;5075;5850;6479;6253;6188;5885
37491;Pernambuco;-40.2490;-9.1005;5688;5855;5767;5920;5407;5018;4786;5031;5775;6406;6203;6184;5904
37492;Pernambuco;-40.1490;-9.1005;5734;5915;5836;5995;5513;5064;4833;5066;5814;6382;6219;6211;5965
37493;Pernambuco;-40.0490;-9.1005;5712;5940;5826;6033;5527;5040;4797;4979;5743;6334;6164;6174;5984
37494;Pernambuco;-39.9490;-9.1005;5679;5945;5860;5953;5470;5017;4775;4965;5709;6296;6129;6130;5894
37510;Pernambuco;-38.3490;-9.1005;5709;6021;6102;6213;5804;5056;4621;4803;5384;6121;6078;6170;6130
37511;Pernambuco;-38.2490;-9.1005;5640;5972;5927;6100;5664;4984;4491;4703;5382;6083;6034;6295;6044
37512;Pernambuco;-38.1490;-9.1005;5635;6016;5923;6063;5595;4919;4457;4628;5333;6144;6142;6356;6045
37513;Pernambuco;-38.0490;-9.1005;5486;5944;5871;5988;5518;4729;4248;4398;5021;5860;6004;6246;5999
37514;Pernambuco;-37.9490;-9.1005;5533;5920;5883;6075;5536;4760;4310;4490;5108;5862;6065;6336;6046
37520;Pernambuco;-37.3490;-9.1005;5524;5897;5914;6094;5566;4706;4316;4533;5106;5816;6042;6270;6031
37521;Pernambuco;-37.2490;-9.1005;5499;5886;5881;6074;5545;4725;4280;4516;5021;5754;6019;6261;6022
37522;Pernambuco;-37.1490;-9.1005;5466;5871;5821;6022;5495;4684;4255;4467;5021;5786;5964;6222;5983
37523;Pernambuco;-37.0490;-9.1005;5425;5795;5745;6001;5499;4617;4185;4328;4941;5781;5957;6243;6012
37524;Pernambuco;-36.9490;-9.1005;5413;5760;5708;5973;5521;4673;4219;4372;4962;5701;5858;6221;5987
37525;Pernambuco;-36.8490;-9.1005;5387;5776;5692;5931;5482;4651;4190;4307;4911;5663;5849;6198;5994
37526;Pernambuco;-36.7490;-9.1005;5369;5708;5724;5896;5442;4531;4162;4279;4873;5692;5872;6252;5999
37527;Pernambuco;-36.6490;-9.1005;5389;5719;5732;5943;5452;4552;4224;4329;4914;5686;5862;6241;6016
37528;Pernambuco;-36.5490;-9.1005;5247;5624;5610;5777;5344;4456;4036;4149;4669;5522;5725;6140;5911
37529;Pernambuco;-36.4490;-9.1005;5267;5679;5663;5843;5382;4512;4057;4129;4724;5529;5705;6067;5911
37530;Pernambuco;-36.3490;-9.1005;5235;5670;5655;5866;5382;4508;4027;4077;4708;5458;5616;6008;5848
37531;Pernambuco;-36.2490;-9.1005;5152;5536;5604;5762;5314;4478;3963;4076;4584;5348;5495;5906;5759
37532;Pernambuco;-36.1490;-9.1005;5127;5487;5549;5685;5273;4478;3995;4074;4625;5355;5468;5853;5683
37864;Pernambuco;-40.8490;-9.0005;5791;5868;5722;5803;5420;5169;5068;5368;6105;6591;6352;6177;5848
37865;Pernambuco;-40.7490;-9.0005;5769;5865;5724;5799;5396;5161;5008;5312;6033;6564;6341;6168;5859
37866;Pernambuco;-40.6490;-9.0005;5744;5855;5713;5830;5394;5106;4948;5238;5954;6534;6321;6175;5855
37867;Pernambuco;-40.5490;-9.0005;5725;5812;5733;5856;5424;5099;4875;5169;5927;6533;6313;6144;5811
37868;Pernambuco;-40.4490;-9.0005;5704;5800;5744;5857;5420;5079;4845;5109;5885;6492;6298;6131;5786
37869;Pernambuco;-40.3490;-9.0005;5719;5814;5781;5875;5443;5074;4864;5111;5893;6491;6283;6167;5833
37870;Pernambuco;-40.2490;-9.0005;5708;5863;5737;5928;5465;5067;4877;5106;5852;6427;6219;6137;5822
37871;Pernambuco;-40.1490;-9.0005;5682;5847;5721;5904;5456;5027;4830;5016;5802;6412;6211;6123;5837
37872;Pernambuco;-40.0490;-9.0005;5667;5858;5744;5914;5445;4998;4763;4976;5752;6337;6187;6127;5899
37873;Pernambuco;-39.9490;-9.0005;5675;5916;5783;5956;5497;5017;4763;4984;5711;6330;6173;6114;5850
37874;Pernambuco;-39.8490;-9.0005;5637;5831;5760;5902;5466;5007;4758;4957;5657;6275;6133;6086;5818
37886;Pernambuco;-38.6490;-9.0005;5639;6020;5948;6176;5684;4935;4493;4689;5261;6005;6103;6241;6110
37887;Pernambuco;-38.5490;-9.0005;5759;6142;6097;6251;5834;5071;4665;4868;5423;6152;6199;6258;6147
37888;Pernambuco;-38.4490;-9.0005;5812;6149;6144;6282;5919;5172;4789;4985;5548;6209;6156;6234;6161
37889;Pernambuco;-38.3490;-9.0005;5779;6090;6136;6283;5889;5159;4711;4898;5496;6208;6128;6216;6136
37890;Pernambuco;-38.2490;-9.0005;5637;6012;5991;6185;5713;4959;4461;4657;5287;6040;6013;6245;6077
37891;Pernambuco;-38.1490;-9.0005;5654;6052;5970;6133;5671;4927;4470;4691;5332;6120;6120;6299;6069
37892;Pernambuco;-38.0490;-9.0005;5676;6087;6000;6135;5664;4932;4499;4705;5347;6138;6189;6353;6063
37893;Pernambuco;-37.9490;-9.0005;5574;5979;5906;6022;5566;4817;4319;4532;5199;5970;6116;6372;6092
37894;Pernambuco;-37.8490;-9.0005;5527;5986;5866;6029;5567;4733;4245;4409;5071;5892;6069;6357;6093
37895;Pernambuco;-37.7490;-9.0005;5554;6043;5859;6084;5612;4796;4294;4458;5108;5900;6100;6333;6059
37896;Pernambuco;-37.6490;-9.0005;5567;6016;5921;6071;5656;4788;4273;4456;5115;5945;6115;6372;6078
37897;Pernambuco;-37.5490;-9.0005;5541;5990;5928;6091;5626;4741;4253;4398;5056;5888;6093;6366;6065
37898;Pernambuco;-37.4490;-9.0005;5543;5980;5954;6187;5638;4715;4265;4397;5036;5850;6099;6327;6065
37899;Pernambuco;-37.3490;-9.0005;5564;5954;5954;6158;5626;4718;4245;4499;5100;5907;6141;6388;6081
37900;Pernambuco;-37.2490;-9.0005;5579;5961;5940;6118;5640;4751;4311;4573;5179;5924;6122;6358;6077
37901;Pernambuco;-37.1490;-9.0005;5542;5939;5879;6076;5598;4716;4308;4515;5140;5888;6058;6311;6073
37902;Pernambuco;-37.0490;-9.0005;5559;5922;5884;6088;5634;4786;4384;4533;5218;5922;6066;6268;6007
37903;Pernambuco;-36.9490;-9.0005;5491;5847;5809;6024;5590;4763;4331;4498;5124;5799;5954;6185;5968
37904;Pernambuco;-36.8490;-9.0005;5431;5808;5719;5888;5507;4681;4247;4394;5006;5774;5958;6215;5978
37905;Pernambuco;-36.7490;-9.0005;5406;5759;5710;5905;5471;4580;4161;4285;4942;5788;5976;6281;6013
