ID;UF;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
35974;Pernambuco;-40.7490;-9.5005;5811;6408;6089;6010;5246;4944;4709;4979;5681;6334;6425;6581;6333
35975;Pernambuco;-40.6490;-9.5005;5766;6347;6088;5983;5213;4887;4624;4900;5587;6318;6408;6540;6296
35976;Pernambuco;-40.5490;-9.5005;5722;6339;6068;5967;5187;4811;4553;4795;5537;6284;6353;6488;6283
36352;Pernambuco;-40.7490;-9.4005;5813;6402;6089;6006;5258;4940;4712;4990;5640;6336;6442;6578;6357
36353;Pernambuco;-40.6490;-9.4005;5790;6384;6085;5980;5225;4865;4648;4896;5598;6389;6473;6578;6362
36354;Pernambuco;-40.5490;-9.4005;5767;6381;6165;6027;5242;4828;4576;4820;5553;6323;6401;6503;6384
36355;Pernambuco;-40.4490;-9.4005;5726;6393;6124;6025;5236;4773;4527;4754;5478;6232;6302;6492;6374
36356;Pernambuco;-40.3490;-9.4005;5752;6377;6108;6084;5301;4776;4554;4761;5534;6309;6309;6526;6395
36389;Pernambuco;-37.0490;-9.4005;5415;6185;5924;5955;5239;4381;3964;4119;4744;5595;5979;6487;6412
36390;Pernambuco;-36.9490;-9.4005;5381;6101;5881;5913;5183;4355;3949;4113;4707;5570;5929;6472;6399
36730;Pernambuco;-40.7490;-9.3005;5817;6416;6063;6001;5282;4880;4699;4951;5687;6399;6484;6585;6354
36731;Pernambuco;-40.6490;-9.3005;5804;6429;6056;6025;5286;4831;4646;4901;5643;6382;6475;6609;6373
36732;Pernambuco;-40.5490;-9.3005;5785;6379;6130;6047;5279;4822;4576;4835;5574;6345;6439;6553;6445
36733;Pernambuco;-40.4490;-9.3005;5763;6340;6073;6029;5283;4803;4553;4808;5581;6356;6411;6509;6408
36734;Pernambuco;-40.3490;-9.3005;5718;6269;6030;6032;5295;4757;4504;4759;5500;6321;6317;6475;6354
36755;Pernambuco;-38.2490;-9.3005;5596;6298;6308;6111;5481;4638;4154;4359;4987;5824;6055;6496;6441
36756;Pernambuco;-38.1490;-9.3005;5528;6276;6134;5975;5379;4537;4065;4285;4883;5773;6064;6569;6400
36766;Pernambuco;-37.1490;-9.3005;5422;6168;5949;5981;5266;4369;3942;4097;4647;5674;6074;6508;6393
36767;Pernambuco;-37.0490;-9.3005;5370;6135;5837;5890;5191;4346;3908;4103;4644;5571;5958;6483;6376
36768;Pernambuco;-36.9490;-9.3005;5427;6135;5897;5913;5227;4381;3973;4145;4754;5682;6042;6528;6445
36769;Pernambuco;-36.8490;-9.3005;5405;6084;5924;5917;5264;4374;3951;4085;4728;5631;6000;6480;6416
36770;Pernambuco;-36.7490;-9.3005;5403;6044;5956;5863;5257;4332;3922;4108;4726;5658;5978;6566;6422
36771;Pernambuco;-36.6490;-9.3005;5338;6058;5895;5859;5169;4215;3772;3933;4540;5540;5989;6615;6470
36772;Pernambuco;-36.5490;-9.3005;5231;5966;5764;5813;5111;4173;3672;3819;4430;5425;5800;6429;6365
36773;Pernambuco;-36.4490;-9.3005;5273;5955;5861;5834;5181;4246;3754;3908;4536;5438;5828;6433;6301
37109;Pernambuco;-40.6490;-9.2005;5764;6350;5953;5939;5234;4812;4639;4886;5665;6424;6456;6519;6293
37110;Pernambuco;-40.5490;-9.2005;5773;6267;6028;5944;5309;4824;4599;4902;5682;6410;6433;6519;6353
37111;Pernambuco;-40.4490;-9.2005;5705;6217;5964;5921;5260;4764;4499;4812;5566;6346;6366;6465;6283
37112;Pernambuco;-40.3490;-9.2005;5687;6223;5959;5970;5234;4716;4436;4764;5513;6349;6324;6480;6278
37113;Pernambuco;-40.2490;-9.2005;5609;6147;5896;5828;5195;4654;4378;4669;5446;6285;6247;6415;6149
37132;Pernambuco;-38.3490;-9.2005;5634;6361;6257;6119;5492;4622;4175;4347;5071;5986;6200;6474;6503
37133;Pernambuco;-38.2490;-9.2005;5580;6344;6151;6081;5426;4624;4092;4293;4939;5888;6110;6580;6431
37134;Pernambuco;-38.1490;-9.2005;5562;6308;6092;6029;5399;4582;4065;4277;4929;5868;6151;6614;6430
37135;Pernambuco;-38.0490;-9.2005;5526;6267;6052;5991;5370;4534;4049;4239;4897;5808;6121;6580;6409
37136;Pernambuco;-37.9490;-9.2005;5577;6327;6052;6092;5392;4529;4114;4258;4957;5837;6179;6700;6487
37143;Pernambuco;-37.2490;-9.2005;5477;6238;5994;6034;5303;4406;4004;4192;4752;5728;6122;6527;6428
