ID;UF;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
35974;Pernambuco;-40.7490;-9.5005;2454;2645;2551;2549;2386;2185;2073;2149;2388;2613;2690;2690;2524
35975;Pernambuco;-40.6490;-9.5005;2439;2623;2549;2541;2377;2169;2047;2121;2357;2610;2689;2673;2509
35976;Pernambuco;-40.5490;-9.5005;2418;2610;2540;2528;2363;2142;2017;2071;2331;2595;2669;2639;2505
36352;Pernambuco;-40.7490;-9.4005;2457;2646;2559;2550;2388;2193;2074;2150;2371;2618;2703;2694;2543
36353;Pernambuco;-40.6490;-9.4005;2450;2637;2555;2541;2383;2167;2050;2117;2359;2643;2717;2685;2543
36354;Pernambuco;-40.5490;-9.4005;2439;2638;2588;2562;2382;2149;2029;2085;2332;2615;2689;2644;2551
36355;Pernambuco;-40.4490;-9.4005;2418;2645;2562;2553;2375;2122;2008;2053;2304;2576;2648;2635;2541
36356;Pernambuco;-40.3490;-9.4005;2430;2643;2547;2577;2400;2124;2021;2065;2335;2612;2646;2643;2544
36389;Pernambuco;-37.0490;-9.4005;2322;2587;2484;2531;2330;2078;1829;1882;2079;2422;2527;2602;2514
36390;Pernambuco;-36.9490;-9.4005;2308;2551;2465;2515;2306;2066;1826;1883;2067;2409;2501;2597;2511
36730;Pernambuco;-40.7490;-9.3005;2456;2646;2551;2549;2391;2170;2066;2138;2384;2638;2716;2688;2530
36731;Pernambuco;-40.6490;-9.3005;2455;2663;2552;2558;2395;2153;2051;2121;2375;2638;2714;2693;2545
36732;Pernambuco;-40.5490;-9.3005;2444;2640;2575;2565;2390;2138;2023;2095;2346;2623;2700;2666;2572
36733;Pernambuco;-40.4490;-9.3005;2438;2634;2544;2558;2391;2134;2016;2085;2353;2636;2693;2648;2557
36734;Pernambuco;-40.3490;-9.3005;2416;2606;2516;2555;2394;2112;1999;2062;2317;2618;2647;2629;2532
36755;Pernambuco;-38.2490;-9.3005;2381;2615;2606;2583;2411;2122;1916;1956;2176;2495;2553;2602;2543
36756;Pernambuco;-38.1490;-9.3005;2351;2592;2539;2524;2358;2082;1872;1921;2137;2475;2557;2634;2523
36766;Pernambuco;-37.1490;-9.3005;2322;2573;2492;2532;2334;2068;1825;1868;2044;2450;2564;2599;2511
36767;Pernambuco;-37.0490;-9.3005;2295;2564;2442;2497;2301;2052;1794;1860;2038;2403;2507;2594;2492
36768;Pernambuco;-36.9490;-9.3005;2320;2563;2465;2503;2323;2069;1826;1882;2087;2450;2543;2610;2518
36769;Pernambuco;-36.8490;-9.3005;2311;2549;2472;2505;2340;2064;1823;1866;2070;2429;2525;2582;2509
36770;Pernambuco;-36.7490;-9.3005;2312;2526;2487;2483;2342;2053;1823;1874;2062;2439;2518;2614;2518
36771;Pernambuco;-36.6490;-9.3005;2289;2540;2467;2487;2313;2010;1763;1803;1983;2397;2525;2638;2538
36772;Pernambuco;-36.5490;-9.3005;2251;2516;2423;2478;2296;2011;1719;1753;1946;2349;2450;2573;2497
36773;Pernambuco;-36.4490;-9.3005;2272;2505;2476;2491;2341;2038;1751;1798;1972;2360;2467;2581;2479
